District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,No,78,77,98.7,0,1.3,0,6.5,31.2,44.2,18.2,257.1,62.3,93.5
279,Amistad Academy District,2010-11,No,71,70,98.6,0,1.4,0,2.9,20,34.3,42.9,275.5,77.1,97.1
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,No,49,47,95.9,0,4.1,0,0,31.9,29.8,38.3,270.2,68.1,100
2,Ansonia School District,2010-11,No,190,174,91.6,0,8.4,10.3,10.3,31.6,31.6,16.1,246.1,47.7,79.3
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,74,71,95.9,0,4.1,12.7,8.5,31,35.2,12.7,238.6,47.9,78.9
3,Ashford School District,2010-11,No,30,30,100,0,0,3.3,6.7,20,30,40,267.7,70,90
3,Ashford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,No,258,250,96.9,0.4,2.7,0,4,16.8,36.8,42.4,279.5,79.2,96
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,No,35,34,97.1,0,2.9,0,0,17.6,52.9,29.4,270.3,82.4,100
7,Berlin School District,2010-11,No,199,194,97.5,0,2.5,1,5.2,20.6,26.8,46.4,278.6,73.2,93.8
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,No,75,71,94.7,0,5.3,1.4,4.2,28.2,45.1,21.1,262.1,66.2,94.4
9,Bethel School District,2010-11,No,189,185,97.9,0,2.1,1.6,1.6,10.3,36.2,50.3,287.3,86.5,96.8
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,133,125,94,0,6,1.6,14.4,30.4,36,17.6,248.5,53.6,84
11,Bloomfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,No,50,46,92,2,6,4.3,8.7,8.7,37,41.3,272.1,78.3,87
12,Bolton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,No,22,20,90.9,0,9.1,5,15,10,30,40,276.5,70,80
14,Branford School District,2010-11,No,239,229,95.8,0.4,3.8,3.5,4.4,16.2,41,34.9,272.8,76,92.1
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,No,1509,1454,96.4,0.4,3.2,25.4,16.9,28.1,23,6.7,217.9,29.6,57.8
15,Bridgeport School District,2010-11,Yes,196,169,86.2,0,13.8,38.5,23.7,28.4,8.3,1.2,195.7,9.5,37.9
17,Bristol School District,2010-11,No,527,513,97.3,0,2.7,8.8,9,22.4,27.9,32,257.9,59.8,82.3
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,168,165,98.2,0.6,1.2,3,4.2,14.5,43,35.2,271,78.2,92.7
19,Brooklyn School District,2010-11,No,94,92,97.9,0,2.1,2.2,8.7,27.2,35.9,26.1,258.6,62,89.1
19,Brooklyn School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,70,69,98.6,0,1.4,2.9,1.4,23.2,43.5,29,267.9,72.5,95.7
23,Canton School District,2010-11,No,141,139,98.6,0,1.4,4.3,7.9,16.5,36.7,34.5,266.2,71.2,87.8
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,No,140,134,95.7,0,4.3,5.2,5.2,26.1,34.3,29.1,262.4,63.4,89.6
241,Capitol Region Education Council,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,No,23,23,100,0,0,8.7,8.7,26.1,47.8,8.7,242.1,56.5,82.6
25,Cheshire School District,2010-11,No,350,339,96.9,0,3.1,2.9,4.1,19.8,34.2,38.9,272.5,73.2,92.9
25,Cheshire School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
26,Chester School District,2010-11,No,42,42,100,0,0,0,2.4,16.7,35.7,45.2,283.9,81,97.6
27,Clinton School District,2010-11,No,168,162,96.4,0,3.6,4.3,9.3,19.8,45.1,21.6,255,66.7,86.4
27,Clinton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,No,217,213,98.2,0,1.8,7,7.5,26.3,33.8,25.4,254.8,59.2,85.4
28,Colchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
29,Colebrook School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,No,59,58,98.3,0,1.7,3.4,8.6,15.5,37.9,34.5,265.6,72.4,87.9
243,Cooperative Educational Services,2010-11,No,47,45,95.7,0,4.3,4.4,8.9,20,24.4,42.2,270,66.7,86.7
31,Cornwall School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,No,148,145,98,0,2,2.8,6.9,19.3,38.6,32.4,267.4,71,90.3
33,Cromwell School District,2010-11,No,138,136,98.6,0,1.4,2.9,2.9,10.3,33.1,50.7,292.2,83.8,94.1
33,Cromwell School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,No,639,610,95.5,0.3,4.2,2.3,6.1,21,34.1,36.6,269.7,70.7,91.6
34,Danbury School District,2010-11,Yes,199,178,89.4,0,10.6,7.3,14.6,33.1,32.6,12.4,239,44.9,78.1
35,Darien School District,2010-11,No,367,360,98.1,0.3,1.6,1.7,2.8,13.1,33.9,48.6,283.8,82.5,95.6
36,Deep River School District,2010-11,No,52,50,96.2,0,3.8,0,4,22,38,36,274.9,74,96
37,Derby School District,2010-11,No,88,85,96.6,0,3.4,14.1,15.3,25.9,31.8,12.9,237.1,44.7,70.6
37,Derby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,No,54,54,100,0,0,0,5.6,13,40.7,40.7,278.7,81.5,94.4
41,East Haddam School District,2010-11,No,101,95,94.1,0,5.9,2.1,6.3,9.5,37.9,44.2,276.9,82.1,91.6
42,East Hampton School District,2010-11,No,152,144,94.7,0,5.3,3.5,6.2,21.5,38.2,30.6,264,68.8,90.3
43,East Hartford School District,2010-11,No,447,427,95.5,0.2,4.3,21.1,9.6,29,24.8,15.5,229.9,40.3,69.3
43,East Hartford School District,2010-11,Yes,66,55,83.3,0,16.7,34.5,16.4,29.1,16.4,3.6,207,20,49.1
44,East Haven School District,2010-11,No,259,248,95.8,0,4.2,16.9,18.1,28.2,29,7.7,226.1,36.7,64.9
44,East Haven School District,2010-11,Yes,25,21,84,0,16,42.9,28.6,14.3,14.3,0,193.8,14.3,28.6
45,East Lyme School District,2010-11,No,212,201,94.8,0.5,4.7,2,2,16.9,36.3,42.8,279.4,79.1,96
45,East Lyme School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
47,East Windsor School District,2010-11,No,95,91,95.8,0,4.2,11,12.1,22,31.9,23.1,248.1,54.9,76.9
47,East Windsor School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,No,115,110,95.7,0,4.3,0.9,0,12.7,42.7,43.6,285,86.4,99.1
48,Ellington School District,2010-11,No,212,202,95.3,0,4.7,1.5,5,18.3,40.1,35.1,269.5,75.2,93.6
48,Ellington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,No,53,52,98.1,0,1.9,5.8,7.7,25,36.5,25,252.9,61.5,86.5
49,Enfield School District,2010-11,No,417,408,97.8,0,2.2,2.9,2.5,17.4,36.8,40.4,275.9,77.2,94.6
49,Enfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
50,Essex School District,2010-11,No,72,71,98.6,0,1.4,2.8,7,15.5,31,43.7,274.6,74.6,90.1
50,Essex School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
51,Fairfield School District,2010-11,No,739,725,98.1,0,1.9,2.2,3.7,10.8,35.2,48.1,283.8,83.3,94.1
51,Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,No,282,278,98.6,0,1.4,1.1,3.6,12.6,29.5,53.2,288.3,82.7,95.3
52,Farmington School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
54,Glastonbury School District,2010-11,No,517,502,97.1,0,2.9,2,3.6,12.5,36.3,45.6,281.1,81.9,94.4
54,Glastonbury School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,No,167,164,98.2,0,1.8,1.8,4.3,19.5,36,38.4,272.6,74.4,93.9
56,Granby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,No,645,634,98.3,0,1.7,2.2,3.5,16.7,38.8,38.8,276.2,77.6,94.3
57,Greenwich School District,2010-11,Yes,42,34,81,0,19,5.9,11.8,29.4,32.4,20.6,256.7,52.9,82.4
58,Griswold School District,2010-11,No,132,123,93.2,0,6.8,6.5,12.2,34.1,33.3,13.8,243.3,47.2,81.3
58,Griswold School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
59,Groton School District,2010-11,No,341,327,95.9,0,4.1,7.3,7.3,20.8,35.2,29.4,260.3,64.5,85.3
59,Groton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
60,Guilford School District,2010-11,No,289,284,98.3,0,1.7,0.4,4.2,10.2,33.8,51.4,286.1,85.2,95.4
60,Guilford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
62,Hamden School District,2010-11,No,393,368,93.6,0,6.4,7.1,10.1,23.4,32.1,27.4,256,59.5,82.9
62,Hamden School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
63,Hampton School District,2010-11,No,20,20,100,0,0,30,30,25,5,10,211.8,15,40
64,Hartford School District,2010-11,No,1252,1141,91.1,0.6,8.3,20.2,16.9,29.9,23.4,9.6,223.9,33,62.8
64,Hartford School District,2010-11,Yes,281,208,74,0.7,25.3,29.8,20.7,28.4,18.3,2.9,208.9,21.2,49.5
65,Hartland School District,2010-11,No,21,20,95.2,0,4.8,0,10,10,30,50,277.8,80,90
67,Hebron School District,2010-11,No,163,162,99.4,0,0.6,3.1,4.3,14.8,38.3,39.5,275.3,77.8,92.6
286,Highville Charter School District,2010-11,No,38,38,100,0,0,0,13.2,44.7,34.2,7.9,243.4,42.1,86.8
264,Integrated Day Charter School District,2010-11,No,31,31,100,0,0,16.1,16.1,19.4,45.2,3.2,229.3,48.4,67.7
264,Integrated Day Charter School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
261,Jumoke Academy District,2010-11,No,44,42,95.5,0,4.5,0,0,33.3,40.5,26.2,264,66.7,100
68,Kent School District,2010-11,No,28,25,89.3,0,10.7,4,0,0,64,32,282,96,96
69,Killingly School District,2010-11,No,180,178,98.9,0,1.1,6.2,11.2,25.3,37.1,20.2,250,57.3,82.6
69,Killingly School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
245,Learn,2010-11,No,73,71,97.3,0,2.7,2.8,5.6,28.2,39.4,23.9,261.2,63.4,91.5
245,Learn,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
71,Lebanon School District,2010-11,No,86,86,100,0,0,4.7,4.7,18.6,50,22.1,259.2,72.1,90.7
71,Lebanon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
72,Ledyard School District,2010-11,No,171,163,95.3,0,4.7,0,4.9,19.6,36.2,39.3,274.5,75.5,95.1
72,Ledyard School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,No,35,34,97.1,0,2.9,5.9,14.7,17.6,35.3,26.5,250.3,61.8,79.4
74,Litchfield School District,2010-11,No,87,83,95.4,0,4.6,2.4,1.2,27.7,34.9,33.7,265.8,68.7,96.4
76,Madison School District,2010-11,No,256,248,96.9,0,3.1,0.4,0.8,10.5,36.3,52,289.4,88.3,98.8
76,Madison School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
77,Manchester School District,2010-11,No,460,419,91.1,0.7,8.3,6.2,7.6,20,34.1,32,262.1,66.1,86.2
77,Manchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
78,Mansfield School District,2010-11,No,132,129,97.7,0,2.3,2.3,4.7,8.5,32.6,51.9,285.9,84.5,93
78,Mansfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
79,Marlborough School District,2010-11,No,92,90,97.8,0,2.2,0,1.1,20,26.7,52.2,283.1,78.9,98.9
79,Marlborough School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
80,Meriden School District,2010-11,No,582,551,94.7,0.9,4.5,8.5,11.4,27.2,33.8,19.1,246.5,52.8,80
80,Meriden School District,2010-11,Yes,100,81,81,1,18,33.3,22.2,24.7,16,3.7,206.9,19.8,44.4
83,Middletown School District,2010-11,No,397,390,98.2,0,1.8,7.7,8.7,21.5,33.1,29,258.8,62.1,83.6
83,Middletown School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
84,Milford School District,2010-11,No,486,473,97.3,0.4,2.3,2.5,3.6,20.1,42.5,31.3,265.9,73.8,93.9
84,Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
85,Monroe School District,2010-11,No,230,222,96.5,0,3.5,0.9,1.4,9.9,34.7,53.2,290.5,87.8,97.7
85,Monroe School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,No,181,172,95,0,5,5.2,8.1,22.1,30.2,34.3,261.3,64.5,86.6
