District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,Free,28,24,85.7,3.6,10.7,4.2,0,8.3,45.8,41.7,278,87.5,95.8
279,Amistad Academy District,2010-11,Other,21,21,100,0,0,0,0,4.8,61.9,33.3,277.5,95.2,100
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,69,66,95.7,1.4,2.9,3,18.2,28.8,37.9,12.1,245.9,50,78.8
2,Ansonia School District,2010-11,Other,91,86,94.5,0,5.5,3.5,7,24.4,40.7,24.4,259.6,65.1,89.5
2,Ansonia School District,2010-11,Reduced,27,26,96.3,0,3.7,0,3.8,38.5,53.8,3.8,250.2,57.7,96.2
244,Area Cooperative Educational Services,2010-11,Free,142,135,95.1,0,4.9,17.8,19.3,30.4,25.2,7.4,230.3,32.6,63
244,Area Cooperative Educational Services,2010-11,Other,122,119,97.5,0,2.5,6.7,13.4,20.2,31.1,28.6,257.8,59.7,79.8
244,Area Cooperative Educational Services,2010-11,Reduced,39,37,94.9,0,5.1,0,10.8,37.8,40.5,10.8,249.4,51.4,89.2
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,49,48,98,0,2,4.2,12.5,10.4,22.9,50,274,72.9,83.3
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,283,276,97.5,0,2.5,0,0.7,6.9,33,59.4,295.6,92.4,99.3
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Other,225,217,96.4,0,3.6,0.5,3.2,12.9,38.2,45.2,280.8,83.4,96.3
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,Free,29,27,93.1,0,6.9,0,7.4,33.3,33.3,25.9,264,59.3,92.6
9,Bethel School District,2010-11,Other,178,175,98.3,0,1.7,0,2.3,12,41.1,44.6,280.3,85.7,97.7
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,62,58,93.5,1.6,4.8,6.9,17.2,46.6,27.6,1.7,231.3,29.3,75.9
11,Bloomfield School District,2010-11,Other,63,60,95.2,0,4.8,3.3,18.3,38.3,30,10,240.1,40,78.3
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,57,55,96.5,0,3.5,1.8,1.8,18.2,23.6,54.5,285,78.2,96.4
12,Bolton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,22,22,100,0,0,0,4.5,18.2,54.5,22.7,265,77.3,95.5
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,39,35,89.7,0,10.3,8.6,25.7,20,34.3,11.4,239.1,45.7,65.7
14,Branford School District,2010-11,Other,222,214,96.4,0,3.6,0.5,5.6,16.8,32.2,44.9,275.7,77.1,93.9
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,Free,32,32,100,0,0,3.1,3.1,21.9,53.1,18.8,261.3,71.9,93.8
285,Bridgeport Achievement First,2010-11,Other,27,27,100,0,0,0,3.7,29.6,29.6,37,270.1,66.7,96.3
285,Bridgeport Achievement First,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1329,1203,90.5,1.2,8.3,18,21.6,29.7,24.2,6.6,226.9,30.8,60.4
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,32,30,93.8,0,6.3,13.3,10,30,36.7,10,243.5,46.7,76.7
17,Bristol School District,2010-11,Free,223,202,90.6,0.4,9,5.4,19.3,30.7,30.7,13.9,242,44.6,75.2
17,Bristol School District,2010-11,Other,383,375,97.9,0,2.1,1.6,4.8,19.2,42.7,31.7,268.9,74.4,93.6
17,Bristol School District,2010-11,Reduced,67,66,98.5,0,1.5,1.5,12.1,36.4,42.4,7.6,247.1,50,86.4
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,221,217,98.2,0,1.8,0,1.8,9.7,28.6,59.9,292.5,88.5,98.2
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
