District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,N,74,74,100,0,0,0,6.8,32.4,43.2,17.6,256.4,60.8,93.2
288,Achievement First Hartford Academy Inc.,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,N,71,71,100,0,0,0,2.8,21.1,32.4,43.7,275.5,76.1,97.2
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,N,45,45,100,0,0,0,0,31.1,31.1,37.8,270,68.9,100
1,Andover School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,166,164,98.8,0,1.2,8.5,10.4,31.1,32.3,17.7,249.2,50,81.1
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,65,65,100,0,0,12.3,9.2,32.3,35.4,10.8,237.8,46.2,78.5
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,29,29,100,0,0,0,6.9,20.7,31,41.4,271.7,72.4,93.1
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,237,233,98.3,0.4,1.3,0,2.6,14.2,39.5,43.8,282.9,83.3,97.4
4,Avon School District,2010-11,Y,32,26,81.3,0,18.8,3.8,23.1,38.5,11.5,23.1,236.7,34.6,73.1
5,Barkhamsted School District,2010-11,N,29,29,100,0,0,0,0,10.3,58.6,31,273,89.7,100
5,Barkhamsted School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,N,182,182,100,0,0,1.6,2.7,19.2,28,48.4,281.9,76.4,95.6
7,Berlin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,N,63,63,100,0,0,1.6,1.6,23.8,49.2,23.8,266.8,73,96.8
8,Bethany School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
