District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,56,52,92.9,1.8,5.4,7.7,3.8,17.3,57.7,13.5,248.8,71.2,88.5
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,No,179,171,95.5,0.6,3.9,18.1,9.4,17,40.4,15.2,240.2,55.6,72.5
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,285,274,96.1,0.7,3.2,17.9,7.7,12.4,44.9,17.2,244.8,62,74.5
244,Area Cooperative Educational Services,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,No,59,57,96.6,0,3.4,14,3.5,8.8,35.1,38.6,267.6,73.7,82.5
4,Avon School District,2010-11,No,299,292,97.7,0,2.3,2.1,0,3.4,34.9,59.6,291.2,94.5,97.9
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,No,236,228,96.6,0,3.4,0.4,2.6,6.1,39.5,51.3,281.2,90.8,96.9
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,214,210,98.1,0,1.9,2.4,5.2,2.9,37.1,52.4,280.9,89.5,92.4
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,143,134,93.7,0.7,5.6,10.4,7.5,12.7,55.2,14.2,246.2,69.4,82.1
12,Bolton School District,2010-11,No,70,67,95.7,0,4.3,9,9,11.9,43.3,26.9,263.2,70.1,82.1
13,Bozrah School District,2010-11,No,26,26,100,0,0,3.8,3.8,3.8,65.4,23.1,266.3,88.5,92.3
14,Branford School District,2010-11,No,263,249,94.7,1.1,4.2,5.2,4.8,9.2,37.8,43,274.9,80.7,90
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,No,65,65,100,0,0,10.8,18.5,12.3,40,18.5,246.6,58.5,70.8
15,Bridgeport School District,2010-11,No,1216,1120,92.1,1.6,6.3,24.1,12.9,15.8,40.9,6.3,229.2,47.2,63
15,Bridgeport School District,2010-11,Yes,152,119,78.3,0.7,21.1,73.1,12.6,9.2,5,0,191.4,5,14.3
17,Bristol School District,2010-11,No,648,624,96.3,0.3,3.4,8,6.6,10.1,47.6,27.7,259.4,75.3,85.4
17,Bristol School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,No,232,228,98.3,0,1.7,3.1,1.3,3.5,39,53.1,281.6,92.1,95.6
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,93,91,97.8,0,2.2,5.5,3.3,13.2,49.5,28.6,260.5,78,91.2
19,Brooklyn School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,61,60,98.4,0,1.6,3.3,5,3.3,60,28.3,265.1,88.3,91.7
23,Canton School District,2010-11,No,144,142,98.6,0,1.4,0.7,2.8,2.1,47.2,47.2,279.2,94.4,96.5
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,No,390,377,96.7,0,3.3,5.8,8,11.9,41.6,32.6,264.4,74.3,86.2
241,Capitol Region Education Council,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,No,406,392,96.6,0.2,3.2,1.5,1.5,5.1,40.3,51.5,285.8,91.8,96.9
