District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,Free,57,56,98.2,0,1.8,12.5,14.3,19.6,41.1,12.5,238.5,53.6,73.2
288,Achievement First Hartford Academy Inc.,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
288,Achievement First Hartford Academy Inc.,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,Free,47,45,95.7,2.1,2.1,22.2,17.8,26.7,26.7,6.7,226.1,33.3,60
279,Amistad Academy District,2010-11,Other,20,20,100,0,0,5,5,30,50,10,244,60,90
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Other,41,40,97.6,0,2.4,10,2.5,2.5,62.5,22.5,257.7,85,87.5
1,Andover School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,113,102,90.3,0,9.7,42.2,11.8,12.7,30.4,2.9,213.2,33.3,46.1
2,Ansonia School District,2010-11,Other,63,57,90.5,0,9.5,8.8,5.3,21.1,52.6,12.3,244.3,64.9,86
2,Ansonia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,Other,50,50,100,0,0,22,4,12,44,18,240.1,62,74
244,Area Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,24,24,100,0,0,4.2,8.3,16.7,54.2,16.7,256.2,70.8,87.5
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,248,240,96.8,0,3.2,4.6,5.4,11.2,43.8,35,264.6,78.8,90
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Other,34,32,94.1,0,5.9,3.1,3.1,25,43.8,25,258.5,68.8,93.8
7,Berlin School District,2010-11,Free,21,21,100,0,0,23.8,23.8,19,28.6,4.8,218.3,33.3,52.4
7,Berlin School District,2010-11,Other,180,174,96.7,0,3.3,9.2,3.4,10.9,54.6,21.8,254.1,76.4,87.4
