District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,N,74,74,100,0,0,12.2,14.9,18.9,41.9,12.2,238.9,54.1,73
288,Achievement First Hartford Academy Inc.,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,N,71,70,98.6,1.4,0,15.7,11.4,28.6,35.7,8.6,234,44.3,72.9
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,N,45,45,100,0,0,6.7,6.7,4.4,60,22.2,256.3,82.2,86.7
1,Andover School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,166,164,98.8,0,1.2,24.4,9.8,18.9,40.2,6.7,229.3,47,65.9
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,65,65,100,0,0,26.2,7.7,13.8,40,12.3,231.3,52.3,66.2
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,29,29,100,0,0,0,6.9,17.2,51.7,24.1,261.6,75.9,93.1
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,237,234,98.7,0,1.3,3.4,4.3,12.4,43.2,36.8,266.2,79.9,92.3
4,Avon School District,2010-11,Y,32,26,81.3,0,18.8,30.8,26.9,15.4,23.1,3.8,218.1,26.9,42.3
5,Barkhamsted School District,2010-11,N,29,29,100,0,0,3.4,3.4,20.7,48.3,24.1,259.7,72.4,93.1
5,Barkhamsted School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,N,182,182,100,0,0,7.7,4.9,11.5,54.4,21.4,253.9,75.8,87.4
