District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,56,56,100,0,0,8.9,8.9,17.9,57.1,7.1,253,64.3,82.1
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,No,179,175,97.8,0.6,1.7,21.7,22.3,16.6,37.1,2.3,229.7,39.4,56
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,285,281,98.6,0,1.4,19.9,16,15.7,45.2,3.2,237.9,48.4,64.1
244,Area Cooperative Educational Services,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,No,59,59,100,0,0,11.9,10.2,8.5,49.2,20.3,263.8,69.5,78
4,Avon School District,2010-11,No,299,297,99.3,0,0.7,2.4,1.3,7.1,69.4,19.9,277.2,89.2,96.3
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,No,236,234,99.2,0,0.8,3,5.1,6.8,55.1,29.9,282.6,85,91.9
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,214,211,98.6,0,1.4,4.3,5.7,11.8,60.7,17.5,270.5,78.2,90
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,143,141,98.6,0.7,0.7,16.3,20.6,22,38.3,2.8,234.5,41.1,63.1
12,Bolton School District,2010-11,No,70,69,98.6,0,1.4,10.1,5.8,15.9,49.3,18.8,263.3,68.1,84.1
13,Bozrah School District,2010-11,No,26,26,100,0,0,3.8,0,15.4,69.2,11.5,266.4,80.8,96.2
14,Branford School District,2010-11,No,263,251,95.4,1.1,3.4,2.8,4.8,11.2,50.6,30.7,279.7,81.3,92.4
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,No,65,65,100,0,0,29.2,10.8,20,36.9,3.1,231,40,60
15,Bridgeport School District,2010-11,No,1216,1169,96.1,1.4,2.5,35.8,18.7,17.5,25.9,2.1,218.7,28,45.5
15,Bridgeport School District,2010-11,Yes,152,127,83.6,0.7,15.8,72.4,19.7,4.7,3.1,0,186.9,3.1,7.9
17,Bristol School District,2010-11,No,648,639,98.6,0.3,1.1,9.1,11.9,14.7,53.4,11,254.3,64.3,79
17,Bristol School District,2010-11,Yes,25,20,80,4,16,50,35,5,10,0,200.2,10,15
18,Brookfield School District,2010-11,No,232,232,100,0,0,1.3,6,11.6,53,28,278.3,81,92.7
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,93,93,100,0,0,2.2,5.4,6.5,59.1,26.9,280.1,86,92.5
19,Brooklyn School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,61,60,98.4,1.6,0,3.3,3.3,6.7,78.3,8.3,270.2,86.7,93.3
23,Canton School District,2010-11,No,144,144,100,0,0,2.1,3.5,4.9,68.1,21.5,280.7,89.6,94.4
