District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,Free,28,28,100,0,0,17.9,10.7,10.7,57.1,3.6,245.5,60.7,71.4
279,Amistad Academy District,2010-11,Other,21,21,100,0,0,0,9.5,33.3,47.6,9.5,258,57.1,90.5
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,69,67,97.1,1.4,1.4,29.9,20.9,16.4,28.4,4.5,225.2,32.8,49.3
2,Ansonia School District,2010-11,Other,91,88,96.7,0,3.3,15.9,25,11.4,46.6,1.1,234.7,47.7,59.1
2,Ansonia School District,2010-11,Reduced,27,27,100,0,0,33.3,18.5,29.6,18.5,0,214.4,18.5,48.1
244,Area Cooperative Educational Services,2010-11,Free,142,141,99.3,0,0.7,31.9,17,17.7,31.9,1.4,224.8,33.3,51.1
244,Area Cooperative Educational Services,2010-11,Other,122,120,98.4,0,1.6,15,13.3,13.3,54.2,4.2,245.5,58.3,71.7
244,Area Cooperative Educational Services,2010-11,Reduced,39,38,97.4,0,2.6,15.8,21.1,13.2,44.7,5.3,241.6,50,63.2
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,49,49,100,0,0,10.2,10.2,8.2,53.1,18.4,265.6,71.4,79.6
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,283,279,98.6,0,1.4,1.4,0.4,7.2,70.6,20.4,278.9,91,98.2
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Other,225,223,99.1,0,0.9,4,4,7.2,54.3,30.5,282.5,84.8,91.9
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,Free,29,27,93.1,0,6.9,11.1,18.5,11.1,51.9,7.4,250.5,59.3,70.4
9,Bethel School District,2010-11,Other,178,177,99.4,0,0.6,3.4,4,12.4,61.6,18.6,272.8,80.2,92.7
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,62,61,98.4,1.6,0,19.7,21.3,23,36.1,0,229,36.1,59
11,Bloomfield School District,2010-11,Other,63,62,98.4,0,1.6,12.9,21,25.8,37.1,3.2,237.6,40.3,66.1
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,57,56,98.2,0,1.8,3.6,5.4,12.5,58.9,19.6,271.6,78.6,91.1
12,Bolton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,22,22,100,0,0,0,0,18.2,72.7,9.1,268.1,81.8,100
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,39,35,89.7,2.6,7.7,14.3,8.6,25.7,40,11.4,246.8,51.4,77.1
14,Branford School District,2010-11,Other,222,213,95.9,0.9,3.2,1.4,4.2,8.9,51.6,33.8,284.9,85.4,94.4
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,Free,32,32,100,0,0,31.2,15.6,21.9,31.2,0,224.6,31.3,53.1
285,Bridgeport Achievement First,2010-11,Other,27,27,100,0,0,29.6,3.7,18.5,40.7,7.4,238.3,48.1,66.7
285,Bridgeport Achievement First,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1329,1262,95,1.4,3.7,39.8,18.9,16.2,23.3,1.7,215.1,25,41.3
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,32,30,93.8,0,6.3,16.7,13.3,20,43.3,6.7,237.8,50,70
17,Bristol School District,2010-11,Free,223,214,96,0.9,3.1,20.6,19.2,13.6,40.7,6.1,236.7,46.7,60.3
17,Bristol School District,2010-11,Other,383,379,99,0.3,0.8,4.7,8.4,14,58.3,14.5,263.5,72.8,86.8
17,Bristol School District,2010-11,Reduced,67,66,98.5,0,1.5,9.1,15.2,19.7,53,3,242.6,56.1,75.8
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,221,221,100,0,0,1.4,6.3,11.3,51.6,29.4,278.6,81,92.3
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Other,79,79,100,0,0,2.5,2.5,7.6,59.5,27.8,280.9,87.3,94.9
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,Other,47,46,97.9,2.1,0,4.3,4.3,2.2,80.4,8.7,272.4,89.1,91.3
22,Canterbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,Other,141,140,99.3,0,0.7,2.9,2.9,5,67.9,21.4,280.4,89.3,94.3
23,Canton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,Free,156,155,99.4,0,0.6,28.4,20,23.2,26.5,1.9,224.1,28.4,51.6
241,Capitol Region Education Council,2010-11,Other,213,213,100,0,0,7,9.4,11.3,52.6,19.7,267.8,72.3,83.6
241,Capitol Region Education Council,2010-11,Reduced,32,32,100,0,0,9.4,12.5,34.4,43.8,0,241.5,43.8,78.1
25,Cheshire School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,Other,393,387,98.5,0.3,1.3,3.6,1.8,7.2,56.1,31.3,283.4,87.3,94.6
25,Cheshire School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,Other,154,154,100,0,0,5.2,4.5,13.6,61,15.6,269.2,76.6,90.3
27,Clinton School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,Free,27,27,100,0,0,7.4,11.1,14.8,59.3,7.4,253,66.7,81.5
28,Colchester School District,2010-11,Other,211,210,99.5,0,0.5,6.7,6.7,8.1,55.7,22.9,270.7,78.6,86.7
28,Colchester School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,Other,44,42,95.5,2.3,2.3,4.8,7.1,7.1,57.1,23.8,274.4,81,88.1
30,Columbia School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,Other,23,23,100,0,0,8.7,4.3,4.3,69.6,13,265.8,82.6,87
