District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,N,52,52,100,0,0,3.8,11.5,15.4,61.5,7.7,257.6,69.2,84.6
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,173,172,99.4,0,0.6,21.5,22.1,16.3,37.8,2.3,230.6,40.1,56.4
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,273,273,100,0,0,18.7,16.1,16.5,45.4,3.3,239.1,48.7,65.2
244,Area Cooperative Educational Services,2010-11,Y,30,26,86.7,0,13.3,69.2,15.4,3.8,11.5,0,195.1,11.5,15.4
3,Ashford School District,2010-11,N,51,51,100,0,0,7.8,11.8,7.8,52.9,19.6,266.3,72.5,80.4
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,274,272,99.3,0,0.7,0.7,1.1,5.9,72.1,20.2,280,92.3,98.2
4,Avon School District,2010-11,Y,27,25,92.6,0,7.4,20,4,20,40,16,246.4,56,76
7,Berlin School District,2010-11,N,209,209,100,0,0,2.9,1.9,5.7,56.9,32.5,287,89.5,95.2
7,Berlin School District,2010-11,Y,30,28,93.3,0,6.7,14.3,28.6,14.3,35.7,7.1,238,42.9,57.1
9,Bethel School District,2010-11,N,198,196,99,0,1,2.6,3.6,11.2,63.8,18.9,273.9,82.7,93.9
9,Bethel School District,2010-11,Y,24,22,91.7,0,8.3,31.8,27.3,18.2,22.7,0,222.5,22.7,40.9
11,Bloomfield School District,2010-11,N,131,130,99.2,0.8,0,11.5,20.8,23.8,40.8,3.1,238,43.8,67.7
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,61,61,100,0,0,4.9,3.3,16.4,54.1,21.3,271,75.4,91.8
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,24,24,100,0,0,4.2,0,8.3,75,12.5,269,87.5,95.8
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,229,229,100,0,0,0.9,3.9,10,51.1,34.1,285.7,85.2,95.2
14,Branford School District,2010-11,Y,42,29,69,7.1,23.8,24.1,10.3,24.1,41.4,0,226,41.4,65.5
285,Bridgeport Achievement First,2010-11,N,65,65,100,0,0,29.2,10.8,20,36.9,3.1,231,40,60
15,Bridgeport School District,2010-11,N,1181,1151,97.5,0.9,1.6,34.1,19.8,17.9,26.1,2.1,219.7,28.1,46
15,Bridgeport School District,2010-11,Y,187,145,77.5,3.7,18.7,80.7,11,3.4,4.8,0,182.8,4.8,8.3
17,Bristol School District,2010-11,N,585,581,99.3,0.2,0.5,7.1,10.3,13.9,56.6,12,258.4,68.7,82.6
17,Bristol School District,2010-11,Y,88,78,88.6,2.3,9.1,34.6,29.5,17.9,17.9,0,210.2,17.9,35.9
18,Brookfield School District,2010-11,N,220,220,100,0,0,0.5,4.5,11.4,53.6,30,281.2,83.6,95
18,Brookfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,N,87,87,100,0,0,2.3,5.7,6.9,56.3,28.7,280.8,85.1,92
19,Brooklyn School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,N,55,54,98.2,1.8,0,1.9,3.7,3.7,81.5,9.3,272.7,90.7,94.4
22,Canterbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,N,133,132,99.2,0,0.8,0.8,2.3,3.8,70.5,22.7,283.8,93.2,97
23,Canton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,N,370,369,99.7,0,0.3,12.5,13.8,17.9,44.4,11.4,251.8,55.8,73.7
241,Capitol Region Education Council,2010-11,Y,31,31,100,0,0,51.6,12.9,16.1,9.7,9.7,212.4,19.4,35.5
25,Cheshire School District,2010-11,N,367,365,99.5,0.3,0.3,1.4,1.1,6.8,57.8,32.9,286.9,90.7,97.5
25,Cheshire School District,2010-11,Y,41,35,85.4,0,14.6,25.7,17.1,14.3,37.1,5.7,236.8,42.9,57.1
27,Clinton School District,2010-11,N,157,157,100,0,0,1.9,3.8,13.4,62.4,18.5,274.4,80.9,94.3
27,Clinton School District,2010-11,Y,21,20,95.2,0,4.8,35,30,25,10,0,212.3,10,35
28,Colchester School District,2010-11,N,209,209,100,0,0,3.3,3.8,7.7,62.2,23,275.7,85.2,92.8
28,Colchester School District,2010-11,Y,36,35,97.2,0,2.8,25.7,25.7,17.1,25.7,5.7,226.5,31.4,48.6
30,Columbia School District,2010-11,N,44,44,100,0,0,0,4.5,2.3,70.5,22.7,281.1,93.2,95.5
30,Columbia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
243,Cooperative Educational Services,2010-11,N,35,35,100,0,0,5.7,2.9,5.7,77.1,8.6,265.8,85.7,91.4
31,Cornwall School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
31,Cornwall School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,N,131,131,100,0,0,2.3,2.3,14.5,64.9,16,268.5,80.9,95.4
32,Coventry School District,2010-11,Y,22,21,95.5,0,4.5,42.9,28.6,4.8,23.8,0,210.8,23.8,28.6
33,Cromwell School District,2010-11,N,126,125,99.2,0,0.8,0.8,6.4,10.4,61.6,20.8,277.4,82.4,92.8
33,Cromwell School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,N,650,641,98.6,0.2,1.2,12.8,8.9,15,50.5,12.8,254.8,63.3,78.3
34,Danbury School District,2010-11,Y,95,83,87.4,0,12.6,44.6,20.5,14.5,16.9,3.6,217.2,20.5,34.9
35,Darien School District,2010-11,N,350,350,100,0,0,0.3,1.1,6,61.7,30.9,286.1,92.6,98.6
35,Darien School District,2010-11,Y,33,30,90.9,0,9.1,20,13.3,20,40,6.7,238.1,46.7,66.7
36,Deep River School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,N,109,108,99.1,0,0.9,23.1,19.4,23.1,33.3,0.9,227.1,34.3,57.4
37,Derby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,N,57,57,100,0,0,1.8,0,7,61.4,29.8,281.4,91.2,98.2
40,East Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
41,East Haddam School District,2010-11,N,116,116,100,0,0,4.3,7.8,14.7,64.7,8.6,260,73.3,87.9
41,East Haddam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
42,East Hampton School District,2010-11,N,151,149,98.7,1.3,0,0.7,3.4,11.4,57,27.5,279.1,84.6,96
42,East Hampton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
43,East Hartford School District,2010-11,N,448,444,99.1,0,0.9,34,19.6,16.9,25.7,3.8,221.6,29.5,46.4
43,East Hartford School District,2010-11,Y,55,47,85.5,1.8,12.7,91.5,6.4,0,2.1,0,179.9,2.1,2.1
44,East Haven School District,2010-11,N,248,247,99.6,0.4,0,18.2,19,16.6,40.1,6.1,239.9,46.2,62.8
44,East Haven School District,2010-11,Y,33,26,78.8,3,18.2,76.9,15.4,3.8,3.8,0,185.5,3.8,7.7
45,East Lyme School District,2010-11,N,187,187,100,0,0,0.5,4.3,9.6,61.5,24.1,279.1,85.6,95.2
45,East Lyme School District,2010-11,Y,28,23,82.1,0,17.9,26.1,13,17.4,30.4,13,236.4,43.5,60.9
47,East Windsor School District,2010-11,N,79,79,100,0,0,5.1,7.6,13.9,50.6,22.8,269,73.4,87.3
47,East Windsor School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
39,Eastford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
46,Easton School District,2010-11,N,125,123,98.4,1.6,0,0.8,1.6,2.4,69.9,25.2,284.5,95.1,97.6
46,Easton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
48,Ellington School District,2010-11,N,189,189,100,0,0,1.6,2.6,5.8,57.1,32.8,285.4,89.9,95.8
