District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,No,56,56,100,0,0,3.6,3.6,14.3,37.5,41.1,269.4,78.6,92.9
279,Amistad Academy District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,No,179,175,97.8,0.6,1.7,10.9,18.3,23.4,41.1,6.3,231.1,47.4,70.9
2,Ansonia School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,No,285,280,98.2,0.4,1.4,8.9,17.1,23.9,36.4,13.6,236.2,50,73.9
244,Area Cooperative Educational Services,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,No,59,59,100,0,0,11.9,16.9,8.5,40.7,22,246,62.7,71.2
4,Avon School District,2010-11,No,299,297,99.3,0,0.7,1.3,1.3,5.4,45.5,46.5,285.6,91.9,97.3
4,Avon School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,No,236,234,99.2,0,0.8,1.7,6.8,13.7,55.1,22.6,259.7,77.8,91.5
7,Berlin School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,No,214,212,99.1,0,0.9,2.4,4.7,10.8,43.9,38.2,273.4,82.1,92.9
9,Bethel School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,No,143,141,98.6,0.7,0.7,8.5,12.8,24.8,46.8,7.1,234.6,53.9,78.7
12,Bolton School District,2010-11,No,70,69,98.6,0,1.4,8.7,10.1,17.4,42,21.7,249.9,63.8,81.2
13,Bozrah School District,2010-11,No,26,26,100,0,0,3.8,0,11.5,50,34.6,263.5,84.6,96.2
14,Branford School District,2010-11,No,263,252,95.8,1.5,2.7,5.2,6,15.1,45.2,28.6,260.4,73.8,88.9
14,Branford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
285,Bridgeport Achievement First,2010-11,No,65,65,100,0,0,0,16.9,30.8,38.5,13.8,244.6,52.3,83.1
15,Bridgeport School District,2010-11,No,1216,1174,96.5,0.6,2.9,17.9,22.5,27.8,28.8,3.1,219.1,31.9,59.6
15,Bridgeport School District,2010-11,Yes,152,125,82.2,2,15.8,53.6,32.8,10.4,3.2,0,186.6,3.2,13.6
17,Bristol School District,2010-11,No,648,639,98.6,0.3,1.1,7.2,9.7,21.8,45.1,16.3,245.4,61.3,83.1
17,Bristol School District,2010-11,Yes,25,20,80,4,16,35,45,10,10,0,195.2,10,20
18,Brookfield School District,2010-11,No,232,232,100,0,0,1.3,1.3,5.6,32.8,59.1,291.3,91.8,97.4
18,Brookfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,No,93,93,100,0,0,5.4,5.4,20.4,59.1,9.7,246.4,68.8,89.2
19,Brooklyn School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,No,61,60,98.4,0,1.6,0,3.3,10,56.7,30,273.5,86.7,96.7
23,Canton School District,2010-11,No,144,143,99.3,0.7,0,0.7,1.4,9.8,51,37.1,273.4,88.1,97.9
23,Canton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,No,390,389,99.7,0,0.3,4.1,9,22.1,41.6,23.1,253.9,64.8,86.9
241,Capitol Region Education Council,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,No,406,399,98.3,0.2,1.5,2.3,2.8,9.3,39.8,45.9,279.2,85.7,95
25,Cheshire School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,No,177,176,99.4,0,0.6,6.8,8,14.8,42.6,27.8,260.5,70.5,85.2
27,Clinton School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,No,243,241,99.2,0,0.8,3.7,8.3,12,42.3,33.6,265.6,75.9,88
28,Colchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
30,Columbia School District,2010-11,No,52,51,98.1,0,1.9,5.9,11.8,5.9,31.4,45.1,270.7,76.5,82.4
243,Cooperative Educational Services,2010-11,No,35,35,100,0,0,2.9,11.4,11.4,68.6,5.7,246.9,74.3,85.7
31,Cornwall School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
32,Coventry School District,2010-11,No,153,152,99.3,0,0.7,4.6,7.2,14.5,46.7,27,258.4,73.7,88.2
33,Cromwell School District,2010-11,No,141,139,98.6,0,1.4,2.2,3.6,12.2,38.1,43.9,275.8,82,94.2
33,Cromwell School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
34,Danbury School District,2010-11,No,645,621,96.3,1.6,2.2,6,9.2,18.5,51,15.3,247.2,66.3,84.9
34,Danbury School District,2010-11,Yes,100,80,80,13,7,38.8,12.5,30,18.8,0,203.7,18.8,48.8
35,Darien School District,2010-11,No,383,380,99.2,0,0.8,1.1,1.1,6.3,43.7,47.9,282.3,91.6,97.9
36,Deep River School District,2010-11,No,**,**,**,**,**,**,**,**,**,**,**,**,**
37,Derby School District,2010-11,No,110,110,100,0,0,5.5,12.7,17.3,54.5,10,244.2,64.5,81.8
37,Derby School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
40,East Granby School District,2010-11,No,67,67,100,0,0,1.5,6,6,47.8,38.8,275.4,86.6,92.5
41,East Haddam School District,2010-11,No,135,131,97,0,3,3.8,4.6,16,51.1,24.4,261.1,75.6,91.6
42,East Hampton School District,2010-11,No,161,160,99.4,0,0.6,1.2,4.4,10.6,39.4,44.4,274.8,83.8,94.4
