District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
279,Amistad Academy District,2010-11,Free,48,47,97.9,0,2.1,2.1,6.4,31.9,40.4,19.1,249,59.6,91.5
279,Amistad Academy District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,Other,31,31,100,0,0,0,0,6.5,35.5,58.1,280.9,93.5,100
1,Andover School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,Free,112,109,97.3,0,2.7,7.3,8.3,24.8,45,14.7,243.7,59.6,84.4
2,Ansonia School District,2010-11,Other,77,75,97.4,0,2.6,4,0,14.7,56,25.3,261.9,81.3,96
2,Ansonia School District,2010-11,Reduced,23,23,100,0,0,0,4.3,52.2,26.1,17.4,248.9,43.5,95.7
244,Area Cooperative Educational Services,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,Other,50,50,100,0,0,6,4,24,48,18,249.2,66,90
244,Area Cooperative Educational Services,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,Other,36,35,97.2,0,2.8,0,17.1,14.3,48.6,20,253.9,68.6,82.9
3,Ashford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,Other,261,258,98.9,0,1.1,0.4,2.7,5.8,40.3,50.8,281.4,91.1,96.9
4,Avon School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
5,Barkhamsted School District,2010-11,Other,48,48,100,0,0,0,2.1,4.2,47.9,45.8,282,93.8,97.9
5,Barkhamsted School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,Other,214,213,99.5,0,0.5,2.3,0.9,14.6,49.8,32.4,264.9,82.2,96.7
7,Berlin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
8,Bethany School District,2010-11,Other,81,80,98.8,0,1.2,5,3.8,11.2,55,25,260.6,80,91.3
9,Bethel School District,2010-11,Free,29,27,93.1,0,6.9,0,7.4,3.7,55.6,33.3,260.7,88.9,92.6
9,Bethel School District,2010-11,Other,195,191,97.9,0,2.1,0.5,3.1,16.8,40.8,38.7,270.1,79.6,96.3
9,Bethel School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,Free,56,56,100,0,0,3.6,21.4,30.4,37.5,7.1,231.8,44.6,75
11,Bloomfield School District,2010-11,Other,76,74,97.4,0,2.6,2.7,13.5,28.4,48.6,6.8,239.4,55.4,83.8
11,Bloomfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,Other,50,50,100,0,0,2,8,12,38,40,272.1,78,90
13,Bozrah School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,Free,42,37,88.1,2.4,9.5,2.7,8.1,32.4,45.9,10.8,239.6,56.8,89.2
14,Branford School District,2010-11,Other,184,180,97.8,0,2.2,3.3,7.8,23.3,46.1,19.4,252.1,65.6,88.9
14,Branford School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Free,1613,1529,94.8,0.6,4.6,15.4,21.5,29.9,28.3,5,220.8,33.2,63.1
15,Bridgeport School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
15,Bridgeport School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
17,Bristol School District,2010-11,Free,252,248,98.4,0,1.6,12.1,16.1,29,36.7,6,228.5,42.7,71.8
17,Bristol School District,2010-11,Other,332,325,97.9,0,2.1,6.2,7.1,19.7,50.2,16.9,248.1,67.1,86.8
17,Bristol School District,2010-11,Reduced,46,45,97.8,0,2.2,4.4,26.7,15.6,44.4,8.9,234.6,53.3,68.9
18,Brookfield School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
18,Brookfield School District,2010-11,Other,192,191,99.5,0,0.5,0,5.2,12,42.9,39.8,270.3,82.7,94.8
18,Brookfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,Free,20,20,100,0,0,10,20,25,35,10,228.6,45,70
19,Brooklyn School District,2010-11,Other,82,82,100,0,0,2.4,4.9,14.6,39,39,269.7,78,92.7
19,Brooklyn School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
