District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
288,Achievement First Hartford Academy Inc.,2010-11,N,74,74,100,0,0,0,10.8,25.7,47.3,16.2,253.9,63.5,89.2
288,Achievement First Hartford Academy Inc.,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
279,Amistad Academy District,2010-11,N,71,70,98.6,0,1.4,2.9,14.3,21.4,48.6,12.9,246.7,61.4,82.9
279,Amistad Academy District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
1,Andover School District,2010-11,N,45,45,100,0,0,0,0,13.3,46.7,40,276.8,86.7,100
1,Andover School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
2,Ansonia School District,2010-11,N,166,164,98.8,0,1.2,4.9,11,22.6,45.7,15.9,250.1,61.6,84.1
2,Ansonia School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
244,Area Cooperative Educational Services,2010-11,N,65,64,98.5,0,1.5,6.2,10.9,26.6,42.2,14.1,248.3,56.3,82.8
244,Area Cooperative Educational Services,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
3,Ashford School District,2010-11,N,29,29,100,0,0,3.4,3.4,24.1,58.6,10.3,258.3,69,93.1
3,Ashford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
4,Avon School District,2010-11,N,237,234,98.7,0,1.3,0,1.3,9.8,42.3,46.6,289.8,88.9,98.7
4,Avon School District,2010-11,Y,32,29,90.6,0,9.4,6.9,10.3,41.4,31,10.3,236.3,41.4,82.8
5,Barkhamsted School District,2010-11,N,29,29,100,0,0,0,6.9,3.4,62.1,27.6,267.2,89.7,93.1
5,Barkhamsted School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
7,Berlin School District,2010-11,N,182,182,100,0,0,1.6,4.4,19.8,56,18.1,260.2,74.2,94
7,Berlin School District,2010-11,Y,24,20,83.3,0,16.7,30,30,15,20,5,211.2,25,40
8,Bethany School District,2010-11,N,63,63,100,0,0,0,4.8,20.6,57.1,17.5,256.5,74.6,95.2
8,Bethany School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
9,Bethel School District,2010-11,N,182,182,100,0,0,0.5,2.7,8.8,55.5,32.4,277.5,87.9,96.7
9,Bethel School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
11,Bloomfield School District,2010-11,N,129,126,97.7,0,2.3,0.8,5.6,31,50.8,11.9,252.6,62.7,93.7
11,Bloomfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
12,Bolton School District,2010-11,N,45,45,100,0,0,6.7,2.2,17.8,42.2,31.1,266.6,73.3,91.1
12,Bolton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
14,Branford School District,2010-11,N,217,212,97.7,0.9,1.4,4.2,8.5,16.5,43.9,26.9,264.4,70.8,87.3
14,Branford School District,2010-11,Y,35,31,88.6,0,11.4,48.4,29,16.1,6.5,0,189.2,6.5,22.6
15,Bridgeport School District,2010-11,N,1477,1435,97.2,0.3,2.5,16.4,23.3,27.2,28.2,4.8,223.5,33,60.2
15,Bridgeport School District,2010-11,Y,228,176,77.2,1.3,21.5,77.8,13.1,6.2,2.3,0.6,171.4,2.8,9.1
17,Bristol School District,2010-11,N,479,473,98.7,0,1.3,4.4,14.4,22,45.9,13.3,247.4,59.2,81.2
17,Bristol School District,2010-11,Y,70,54,77.1,0,22.9,48.1,22.2,18.5,11.1,0,194.3,11.1,29.6
18,Brookfield School District,2010-11,N,148,147,99.3,0.7,0,1.4,2,16.3,46.3,34,274.5,80.3,96.6
18,Brookfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
19,Brooklyn School District,2010-11,N,84,83,98.8,0,1.2,1.2,7.2,20.5,44.6,26.5,262.6,71.1,91.6
19,Brooklyn School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
21,Canaan School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
22,Canterbury School District,2010-11,N,66,65,98.5,0,1.5,3.1,3.1,13.8,52.3,27.7,264.1,80,93.8
22,Canterbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
23,Canton School District,2010-11,N,128,128,100,0,0,3.9,4.7,14.8,53.1,23.4,265.6,76.6,91.4
23,Canton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
241,Capitol Region Education Council,2010-11,N,132,132,100,0,0,2.3,3.8,24.2,49.2,20.5,261.2,69.7,93.9
241,Capitol Region Education Council,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
24,Chaplin School District,2010-11,N,21,21,100,0,0,4.8,4.8,38.1,38.1,14.3,247.9,52.4,90.5
24,Chaplin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,N,325,323,99.4,0,0.6,0.9,4.3,16.4,41.8,36.5,278.2,78.3,94.7
25,Cheshire School District,2010-11,Y,28,24,85.7,0,14.3,12.5,20.8,20.8,37.5,8.3,229.2,45.8,66.7
26,Chester School District,2010-11,N,40,40,100,0,0,5,5,12.5,37.5,40,267.7,77.5,90
26,Chester School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
27,Clinton School District,2010-11,N,154,154,100,0,0,1.3,5.2,16.2,46.8,30.5,271.5,77.3,93.5
27,Clinton School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
28,Colchester School District,2010-11,N,193,192,99.5,0,0.5,1.6,8.9,20.3,45.3,24,260.1,69.3,89.6
