District Number,District,Total % of Students Chronically Absent in District,Elementary Level(Grades K-3),Middle Grades (Grades 4-8),Secondary School(Grades 9-12),American Indian or Alaska Native,Asian,Black or African American,HispanicLatino of any race,Native Hawaiian or Other Pacific Islander,Two or More Races,White,Students with Disabilities,English Language Learner,Free Lunch Eligible,Reduced Lunch Eligible,Not Eligible for Lunch Subsidies
1,Andover School District ,0.7,*,*,,,,,,,,*,*,,*,,
2,Ansonia School District ,12.3,13.4,11.8,11.8,*,*,16.5,14.4,,*,9.6,19.5,*,16.2,9,7.1
3,Ashford School District ,9.1,*,9.3,,,,*,*,,*,8.8,*,,*,*,7.4
4,Avon School District ,4.3,4.7,5.2,2.9,,*,*,*,,*,4,7,*,14.9,*,3.8
5,Barkhamsted School District ,3.2,*,*,,,,,,,,*,,,,*,*
7,Berlin School District ,5.8,2.5,6.3,7.8,,*,*,10.4,,*,5,14.7,*,21.2,*,4.1
8,Bethany School District ,3.2,*,*,,,,,*,,,*,*,,*,,*
9,Bethel School District ,6.1,4.2,5.9,7.7,,*,*,7,,*,5.6,15.6,*,15.5,*,4.3
11,Bloomfield School District ,7.4,6.3,5.9,9.7,,*,6.8,13.6,,*,*,14.9,*,10.9,*,4.4
12,Bolton School District ,2.6,*,*,*,,*,*,,,,*,*,,*,*,*
13,Bozrah School District ,5.3,*,*,,,*,*,*,,,*,*,,*,*,*
14,Branford School District,7.4,4.9,6.8,10.1,,*,*,*,,*,7.5,13.6,*,13,*,6.2
15,Bridgeport School District ,19.9,16.2,15.9,32.7,23.5,9.5,18.6,22.1,*,*,15.9,28.8,20.9,20,20.1,*
17,Bristol School District ,11.5,9.6,8.5,16.7,*,*,15.8,20.9,,11.1,8.8,19.3,23.4,22.2,10.4,5.5
18,Brookfield School District ,4.8,3.6,3.9,6.7,,*,*,*,,,4.4,8.4,*,*,*,4.4
19,Brooklyn School District ,6.8,*,8.2,,,*,*,*,,*,6.3,*,*,15.4,*,3.9
21,Canaan School District ,10.7,*,*,,,,,,,,*,*,,*,,*
22,Canterbury School District ,3.7,*,*,,,,,*,,*,*,*,,*,8,*
23,Canton School District ,4.5,4.7,4.2,4.7,,*,*,*,,,3.4,*,*,20.9,5.4,3.3
24,Chaplin School District ,9.6,*,*,,,*,,*,,*,*,*,,*,*,*
25,Cheshire School District ,5.4,4.1,3.9,8.3,,*,*,*,,,5.5,14.3,*,16.5,*,4.7
26,Chester School District ,5.8,*,*,,,,,*,,,*,*,*,*,*,*
27,Clinton School District ,10.5,6.4,6,21.4,*,*,*,16.8,,*,10,18.4,*,18.3,*,9.2
28,Colchester School District ,2.4,*,3.7,*,*,,*,*,,*,2.3,6,,*,*,2.1
29,Colebrook School District ,1,,*,,,,,,,,*,,,,,*
30,Columbia School District ,6.9,*,*,,,,,*,,,7,*,,*,20,6.5
31,Cornwall School District ,5.7,*,*,,,,,*,,,*,*,,*,,*
32,Coventry School District ,6.2,5,4,10.3,,,*,*,,*,6,17.6,,13.7,*,5.1
33,Cromwell School District,6.2,5,5.9,7.8,,*,*,13.7,,*,5.2,*,*,12.9,*,4.8
34,Danbury School District ,12.5,6.3,7.8,26.3,,8.2,17.5,14.4,,14.2,10.6,19.2,14.2,16.3,8.8,10.2
35,Darien School District ,4.1,2.9,3.5,6.2,*,*,,*,,*,3.9,5.5,*,,,4.1
36,Deep River School District,5.3,*,*,,,,,*,*,,*,*,*,*,*,*
37,Derby School District ,12.9,9.9,12,18.6,*,*,22.2,11.2,,*,11.5,20.8,*,19.3,*,6.7
39,Eastford School District ,5.7,*,*,,,,,*,,,*,*,,*,,*
40,East Granby School District ,5.1,*,*,9.4,*,*,*,*,,*,4.5,*,*,*,,4.8
41,East Haddam School District ,7.7,6.5,5.8,11.1,,,*,*,,,7.9,15.6,*,19.8,*,6.4
42,East Hampton School District ,5.9,5.2,5.2,7.7,,*,*,*,,*,6,*,*,19.8,*,3.8
43,East Hartford School District ,9.9,6.7,6.2,17.5,*,*,7.6,12.5,,*,9.7,14.3,11.8,12.2,6.6,6.5
44,East Haven School District ,17.3,11.1,12.4,30.6,,*,26.4,15.7,,*,17.7,32.7,11.3,22.6,18.1,13.8
45,East Lyme School District ,6,4.4,4.4,8.3,*,*,*,*,,*,6.3,13.6,*,13.9,*,4.9
46,Easton School District ,4.1,5,3.5,,,*,*,*,,*,3.8,*,*,*,*,4
47,East Windsor School District ,11.5,11.7,8.9,14.6,*,*,14.1,13.7,,*,10.6,18.9,*,20.1,*,7.6
48,Ellington School District ,4.4,3.7,4.8,4.5,,*,*,*,,*,3.4,10.2,*,15.6,*,3.3
49,Enfield School District ,11.6,8.8,11.4,14.3,*,*,13.9,14,,8.7,11.4,19.7,*,20.3,11.9,8
50,Essex School District ,2.9,*,*,,,,,,,,*,*,,*,,*
51,Fairfield School District ,5.2,2.8,5.4,7.4,*,4.8,10.8,7.6,*,*,4.7,8.7,*,16,*,4.3
52,Farmington School District,5.5,3.5,4.9,8,*,*,10.3,11.6,,,5.2,11.6,*,14.8,*,4.6
53,Franklin School District ,2.8,*,*,,,,,,,,*,,,*,*,*
54,Glastonbury School District ,3.4,3.2,2.8,4.3,,*,*,6.5,,*,3.1,8.7,*,11.7,*,2.8
56,Granby School District ,4.6,5.4,4.5,4.1,,*,*,*,,*,3.8,*,*,*,*,3.6
57,Greenwich School District ,5.6,4.7,5.8,6.4,,3,11,8.2,,*,5.1,10.3,6.1,12.8,*,4.7
