,,,Grade Range,,,Student's Race-Ethnicity,,,,,,,Students with Disabilities,ELL ,Meal Eligibility Status,,
,,,"Elementary Level 
(Grade K-3)",Middle Grades (Grades 4-8),"Secondary School
 (Grades 9-12)",American Indian or Alaska Native,Asian,Black or African American,"Hispanic
Latino of any race",Native Hawaiian or Other Pacific Islander,Two or More Races,White,,,Free Meals,Reduced Meals,Not Eligible
District Code,District Name,Total % of Students chronically absent in District,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic
1,Andover School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
2,Ansonia School District,11.2,9.7,9.8,15.3,*,*,13.5,14.1,*,*,9.0,16.1,*,15.4,*,5.8
3,Ashford School District,7.6,*,9.2, - , - ,*,*,*, - ,*,8.2,*,*,*,*,*
4,Avon School District,4.8,5.8,4.9,3.7,*,*,*,*,*,*,4.0,9.2,*,14.5,*,4.1
5,Barkhamsted School District,*,*,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
7,Berlin School District,4.8,*,2.9,9.2,*,*,*,12.4,*,*,3.8,13.7,*,18.4,*,3.0
8,Bethany School District,4.9,*,*, - ,*,*,*,*, - ,*,*,*, - ,*,*,*
9,Bethel School District,7.2,2.9,8.4,9.9, - ,*,*,8.0,*,*,7.2,16.2,*,14.9,*,5.8
11,Bloomfield School District,7.6,6.9,4.6,11.1,*,*,6.3,16.1,*,*,*,12.3,*,10.6,*,6.0
12,Bolton School District,5.3,*,*,*, - ,*,*,*, - ,*,3.3,*,*,24.0,*,*
13,Bozrah School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
14,Branford School District,8.8,5.0,6.7,14.4,*,*,*,10.0, - ,*,9.1,13.8,*,13.6,*,7.9
15,Bridgeport School District,21.3,18.8,16.8,32.5,*,10.7,19.8,23.9,*,24.5,18.0,30.0,21.4,21.3, - , - 
17,Bristol School District,11.6,9.7,9.6,15.7,*,*,13.4,21.2,*,14.2,8.4,20.5,24.0,21.9,7.0,5.1
18,Brookfield School District,4.1,2.9,4.0,5.1,*,*,*,*,*,*,4.1,6.8,*,*,*,3.7
19,Brooklyn School District,4.1,*,*, - ,*,*,*,*,*,*,3.5,*,*,10.7,*,*
21,Canaan School District,*,*,*, - , - , - , - ,*,*,*,*,*,*,*, - ,*
22,Canterbury School District,*,*,*, - ,*, - ,*,*, - ,*,*,*, - ,*,*,*
