District ID,District Name,School Year,Incident Category,Number of Total Incidents
288,Achievement First Hartford Academy Inc.,2010-11,All,749
279,Amistad Academy District,2010-11,All,304
1,Andover School District,2010-11,All,4
2,Ansonia School District,2010-11,All,720
244,Area Cooperative Educational Services,2010-11,All,488
3,Ashford School District,2010-11,All,37
4,Avon School District,2010-11,All,81
5,Barkhamsted School District,2010-11,All,1
7,Berlin School District,2010-11,All,700
8,Bethany School District,2010-11,All,7
9,Bethel School District,2010-11,All,412
11,Bloomfield School District,2010-11,All,655
12,Bolton School District,2010-11,All,54
13,Bozrah School District,2010-11,All,7
14,Branford School District,2010-11,All,586
285,Bridgeport Achievement First,2010-11,All,462
15,Bridgeport School District,2010-11,All,12628
17,Bristol School District,2010-11,All,1836
18,Brookfield School District,2010-11,All,109
19,Brooklyn School District,2010-11,All,203
22,Canterbury School District,2010-11,All,32
23,Canton School District,2010-11,All,46
241,Capitol Region Education Council,2010-11,All,1388
24,Chaplin School District,2010-11,All,5
25,Cheshire School District,2010-11,All,291
26,Chester School District,2010-11,All,79
27,Clinton School District,2010-11,All,295
28,Colchester School District,2010-11,All,329
29,Colebrook School District,2010-11,All,2
30,Columbia School District,2010-11,All,14
268,Common Ground High School District,2010-11,All,23
900,Connecticut Technical High School System,2010-11,All,5059
243,Cooperative Educational Services,2010-11,All,37
31,Cornwall School District,2010-11,All,7
32,Coventry School District,2010-11,All,586
33,Cromwell School District,2010-11,All,621
34,Danbury School District,2010-11,All,3042
35,Darien School District,2010-11,All,77
36,Deep River School District,2010-11,All,21
37,Derby School District,2010-11,All,526
40,East Granby School District,2010-11,All,51
41,East Haddam School District,2010-11,All,153
42,East Hampton School District,2010-11,All,164
43,East Hartford School District,2010-11,All,6043
44,East Haven School District,2010-11,All,1090
45,East Lyme School District,2010-11,All,962
47,East Windsor School District,2010-11,All,405
253,Eastern Connecticut Regional Educational Service Center,2010-11,All,10
39,Eastford School District,2010-11,All,5
46,Easton School District,2010-11,All,17
48,Ellington School District,2010-11,All,380
289,Elm City College Preparatory School,2010-11,All,496
49,Enfield School District,2010-11,All,1165
50,Essex School District,2010-11,All,1
272,Explorations District,2010-11,All,64
51,Fairfield School District,2010-11,All,462
52,Farmington School District,2010-11,All,176
54,Glastonbury School District,2010-11,All,178
56,Granby School District,2010-11,All,99
57,Greenwich School District,2010-11,All,487
58,Griswold School District,2010-11,All,612
59,Groton School District,2010-11,All,870
60,Guilford School District,2010-11,All,179
62,Hamden School District,2010-11,All,2081
63,Hampton School District,2010-11,All,9
64,Hartford School District,2010-11,All,9751
67,Hebron School District,2010-11,All,5
264,Integrated Day Charter School District,2010-11,All,15
265,Interdistrict School for Arts and Comm District,2010-11,All,39
261,Jumoke Academy District,2010-11,All,53
69,Killingly School District,2010-11,All,1306
245,Learn,2010-11,All,58
71,Lebanon School District,2010-11,All,344
72,Ledyard School District,2010-11,All,135
73,Lisbon School District,2010-11,All,30
74,Litchfield School District,2010-11,All,95
76,Madison School District,2010-11,All,172
77,Manchester School District,2010-11,All,2634
78,Mansfield School District,2010-11,All,27
79,Marlborough School District,2010-11,All,13
80,Meriden School District,2010-11,All,5358
83,Middletown School District,2010-11,All,1103
84,Milford School District,2010-11,All,362
85,Monroe School District,2010-11,All,137
86,Montville School District,2010-11,All,563
88,Naugatuck School District,2010-11,All,1862
280,"New Beginnings Inc., Family Academy District",2010-11,All,468
89,New Britain School District,2010-11,All,2866
90,New Canaan School District,2010-11,All,62
91,New Fairfield School District,2010-11,All,314
92,New Hartford School District,2010-11,All,5
93,New Haven School District,2010-11,All,3393
95,New London School District,2010-11,All,1754
96,New Milford School District,2010-11,All,940
94,Newington School District,2010-11,All,689
97,Newtown School District,2010-11,All,297
