district name,Total,English Language Learner,% English Language Learner
Andover School District,314,,
Ansonia School District,2514,77,3.10%
Ashford School District,481,8,1.70%
Avon School District,3495,60,1.70%
Barkhamsted School District,357,,
Berlin School District,3015,73,2.40%
Bethany School District,491,,
Bethel School District,2970,79,2.70%
Bloomfield School District,2151,37,1.70%
Bolton School District,892,,
Bozrah School District,234,0,0.00%
Branford School District,3312,112,3.40%
Bridgeport School District,20125,2546,12.60%
Bristol School District,8442,268,3.20%
Brookfield School District,2834,25,0.90%
Brooklyn School District,930,6,0.60%
Canaan School District,86,0,0.00%
Canterbury School District,515,,
Canton School District,1738,13,0.80%
Chaplin School District,182,0,0.00%
Cheshire School District,4784,55,1.20%
Chester School District,259,,
Clinton School District,2002,38,1.90%
Colchester School District,3009,23,0.80%
Colebrook School District,99,0,0.00%
Columbia School District,524,0,0.00%
Cornwall School District,106,0,0.00%
Coventry School District,1776,,
Cromwell School District,1982,41,2.10%
Danbury School District,10488,1898,18.10%
Darien School District,4806,21,0.40%
Deep River School District,357,11,3.10%
Derby School District,1440,103,7.20%
Eastford School District,174,0,0.00%
East Granby School District,845,7,0.80%
East Haddam School District,1269,,
East Hampton School District,1942,11,0.60%
East Hartford School District,7155,580,8.10%
East Haven School District,3270,215,6.60%
East Lyme School District,2978,36,1.20%
Easton School District,1053,,
East Windsor School District,1284,46,3.60%
Ellington School District,2747,35,1.30%
Enfield School District,5647,101,1.80%
Essex School District,558,,
Fairfield School District,10289,206,2.00%
Farmington School District,4041,64,1.60%
Franklin School District,204,0,0.00%
Glastonbury School District,6686,73,1.10%
Granby School District,2155,14,0.60%
Greenwich School District,8790,429,4.90%
Griswold School District,1965,19,1.00%
Groton School District,4947,97,2.00%
Guilford School District,3656,30,0.80%
Hamden School District,5817,248,4.30%
Hampton School District,126,0,0.00%
Hartford School District,20879,3618,17.30%
Hartland School District,225,0,0.00%
Hebron School District,1047,0,0.00%
Kent School District,278,,
Killingly School District,2676,59,2.20%
Lebanon School District,1283,0,0.00%
Ledyard School District,2573,35,1.40%
Lisbon School District,477,,
Litchfield School District,1122,,
Madison School District,3447,11,0.30%
Manchester School District,6405,334,5.20%
Mansfield School District,1324,39,3.00%
Marlborough School District,672,,
Meriden School District,8227,984,12.00%
Middletown School District,5033,132,2.60%
Milford School District,6794,103,1.50%
Monroe School District,3574,13,0.40%
Montville School District,2561,99,3.90%
Naugatuck School District,4514,176,3.90%
New Britain School District,10144,1691,16.70%
New Canaan School District,4148,30,0.70%
New Fairfield School District,2868,23,0.80%
New Hartford School District,580,,
New Haven School District,20555,2567,12.50%
Newington School District,4340,153,3.50%
New London School District,2961,612,20.70%
New Milford School District,4664,138,3.00%
Newtown School District,5282,13,0.20%
Norfolk School District,124,0,0.00%
North Branford School District,2175,24,1.10%
North Canaan School District,308,6,2.00%
North Haven School District,3542,56,1.60%
North Stonington School District,781,,
Norwalk School District,11111,1285,11.60%
Norwich School District,3816,440,11.50%
Old Saybrook School District,1555,37,2.40%
Orange School District,1267,14,1.10%
Oxford School District,2138,29,1.40%
Plainfield School District,2562,19,0.70%
Plainville School District,2403,98,4.10%
Plymouth School District,1647,12,0.70%
Pomfret School District,471,7,1.50%
Portland School District,1361,10,0.70%
Preston School District,396,10,2.50%
Putnam School District,1257,26,2.10%
Redding School District,1205,7,0.60%
Ridgefield School District,5349,41,0.80%
Rocky Hill School District,2529,77,3.00%
Salem School District,443,,
Salisbury School District,310,0,0.00%
Scotland School District,132,0,0.00%
Seymour School District,2293,73,3.20%
Sharon School District,191,0,0.00%
Shelton School District,5225,158,3.00%
Sherman School District,397,,
Simsbury School District,4659,53,1.10%
Somers School District,1613,12,0.70%
Southington School District,6695,119,1.80%
South Windsor School District,4345,87,2.00%
Sprague School District,375,,
Stafford School District,1819,14,0.80%
Stamford School District,15471,2045,13.20%
Sterling School District,489,0,0.00%
Stonington School District,2401,11,0.50%
Stratford School District,7242,271,3.70%
Suffield School District,2479,15,0.60%
Thomaston School District,1052,,
Thompson School District,1185,,
Tolland School District,2943,14,0.50%
Torrington School District,4459,323,7.20%
Trumbull School District,6938,135,2.00%
Union School District,73,0,0.00%
Vernon School District,3568,88,2.50%
Voluntown School District,319,0,0.00%
Wallingford School District,6392,247,3.90%
Waterbury School District,18061,1950,10.80%
Waterford School District,2683,39,1.40%
Watertown School District,3099,72,2.30%
Westbrook School District,922,29,3.20%
West Hartford School District,10068,534,5.30%
West Haven School District,6059,654,10.80%
Weston School District,2479,11,0.40%
Westport School District,5737,63,1.10%
Wethersfield School District,3670,152,4.10%
Willington School District,491,,
Wilton School District,4311,37,0.90%
Winchester School District,687,15,2.20%
Windham School District,3242,797,24.60%
Windsor School District,3490,123,3.50%
Windsor Locks School District,1746,54,3.10%
Wolcott School District,2649,38,1.40%
Woodbridge School District,737,17,2.30%
Woodstock School District,888,6,0.70%
Regional School District 01,463,0,0.00%
Regional School District 04,957,,
Regional School District 05,2425,8,0.30%
Regional School District 06,1037,12,1.20%
Regional School District 07,1150,,
Regional School District 08,1784,,
Regional School District 09,1007,,
Regional School District 10,2663,24,0.90%
Regional School District 11,292,0,0.00%
Regional School District 12,886,,
Regional School District 13,1982,9,0.40%
Regional School District 14,1996,24,1.20%
Regional School District 15,4218,15,0.40%
Regional School District 16,2477,27,1.10%
Regional School District 17,2380,,
Regional School District 18,1448,6,0.40%
Regional School District 19,1226,17,1.40%
Jumoke Academy District,488,,
Odyssey Community School District,314,0,0.00%
Integrated Day Charter School,330,13,3.90%
Interdistrict School for Arts,191,21,11.00%
Common Ground High School District,165,,
The Bridge Academy District,276,,
Side By Side Charter School District,232,18,7.80%
Explorations District,74,,
Trailblazers Academy District,170,0,0.00%
Amistad Academy District,857,130,15.20%
New Beginnings Inc. Family Academy,361,0,0.00%
Stamford Academy,141,0,0.00%
Park City Prep Charter School,257,,
Bridgeport Achievement First,543,24,4.40%
Highville Charter School District,337,0,0.00%
Achievement First Hartford Academy,761,32,4.20%
Elm City College Preparatory School,600,19,3.20%
Capitol Region Education Council,5559,117,2.10%
Education Connection,208,0,0.00%
Cooperative Educational Services,813,0,0.00%
Area Cooperative Educational Services,1956,41,2.10%
Learn,1514,120,7.90%
Eastern Connecticut Regional Education Service Center,297,0,0.00%
Unified School District #1,745,0,0.00%
Department of Mental Health and Addiction Services,5,,
Unified School District #2,180,,
Connecticut Technical High School,10656,275,2.60%
Norwich Free Academy,2315,101,4.40%
The Gilbert School,542,14,2.60%
Woodstock Academy,1098,,
