district name,Total,English Language Learner,% English Language Learner
Andover School District,314,,
Ansonia School District,2409,69,2.90%
Ashford School District,439,7,1.60%
Avon School District,3403,57,1.70%
Barkhamsted School District,349,,
Berlin School District,2972,71,2.40%
Bethany School District,473,0,0.00%
Bethel School District,2975,80,2.70%
Bloomfield School District,2108,25,1.20%
Bolton School District,892,8,0.90%
Bozrah School District,241,,
Branford School District,3250,111,3.40%
Bridgeport School District,20155,2667,13.20%
Bristol School District,8289,329,4.00%
Brookfield School District,2789,35,1.30%
Brooklyn School District,937,9,1.00%
Canaan School District,75,,
Canterbury School District,490,0,0.00%
Canton School District,1748,12,0.70%
Chaplin School District,185,,
Cheshire School District,4649,33,0.70%
Chester School District,251,0,0.00%
Clinton School District,1977,52,2.60%
Colchester School District,2875,27,0.90%
Colebrook School District,104,0,0.00%
Columbia School District,503,0,0.00%
Cornwall School District,103,,
Coventry School District,1720,0,0.00%
Cromwell School District,1971,43,2.20%
Danbury School District,10611,2099,19.80%
Darien School District,4840,13,0.30%
Deep River School District,347,10,2.90%
Derby School District,1488,96,6.50%
Eastford School District,166,0,0.00%
East Granby School District,862,7,0.80%
East Haddam School District,1239,,
East Hampton School District,1890,15,0.80%
East Hartford School District,7033,562,8.00%
East Haven School District,3214,205,6.40%
East Lyme School District,2934,34,1.20%
Easton School District,1015,8,0.80%
East Windsor School District,1256,58,4.60%
Ellington School District,2714,37,1.40%
Enfield School District,5447,101,1.90%
Essex School District,528,,
Fairfield School District,10281,195,1.90%
Farmington School District,4045,54,1.30%
Franklin School District,200,0,0.00%
Glastonbury School District,6578,74,1.10%
Granby School District,2099,13,0.60%
Greenwich School District,8842,471,5.30%
Griswold School District,1958,19,1.00%
Groton School District,4767,104,2.20%
Guilford School District,3562,34,1.00%
Hamden School District,5772,247,4.30%
Hampton School District,117,0,0.00%
Hartford School District,21487,3733,17.40%
Hartland School District,214,0,0.00%
Hebron School District,935,,
Kent School District,271,,
Killingly School District,2672,59,2.20%
Lebanon School District,1228,,
Ledyard School District,2591,25,1.00%
Lisbon School District,443,,
Litchfield School District,1029,,
Madison School District,3378,20,0.60%
Manchester School District,6236,326,5.20%
Mansfield School District,1317,44,3.30%
Marlborough School District,639,,
Meriden School District,8153,990,12.10%
Middletown School District,4874,164,3.40%
Milford School District,6637,119,1.80%
Monroe School District,3473,18,0.50%
Montville School District,2442,86,3.50%
Naugatuck School District,4480,186,4.20%
New Britain School District,10217,1708,16.70%
New Canaan School District,4203,33,0.80%
New Fairfield School District,2798,25,0.90%
New Hartford School District,565,,
New Haven School District,21183,2627,12.40%
Newington School District,4307,148,3.40%
New London School District,3067,624,20.30%
New Milford School District,4600,120,2.60%
Newtown School District,5126,17,0.30%
Norfolk School District,121,0,0.00%
North Branford School District,2080,18,0.90%
North Canaan School District,315,,
North Haven School District,3497,54,1.50%
North Stonington School District,764,0,0.00%
Norwalk School District,11072,1310,11.80%
Norwich School District,3791,445,11.70%
Old Saybrook School District,1492,21,1.40%
Orange School District,1243,22,1.80%
Oxford School District,2095,29,1.40%
Plainfield School District,2490,23,0.90%
Plainville School District,2355,98,4.20%
Plymouth School District,1606,8,0.50%
Pomfret School District,472,,
Portland School District,1373,22,1.60%
Preston School District,402,9,2.20%
Putnam School District,1263,30,2.40%
Redding School District,1130,9,0.80%
Ridgefield School District,5269,50,0.90%
Rocky Hill School District,2460,90,3.70%
Salem School District,422,,
Salisbury School District,309,0,0.00%
Scotland School District,127,0,0.00%
