,,2012-13,,,
Inst,dist,district name,Total,Eligible for Free or Reduced Price Lunch,% of Eligible for Free or Reduced Price Lunch
11,1,Andover School District,314,44,14.0%
11,2,Ansonia School District,2409,1619,67.2%
11,3,Ashford School District,439,145,33.0%
11,4,Avon School District,3403,204,6.0%
11,5,Barkhamsted School District,349,24,6.9%
11,7,Berlin School District,2972,397,13.4%
11,8,Bethany School District,473,28,5.9%
11,9,Bethel School District,2975,528,17.7%
11,11,Bloomfield School District,2108,1015,48.1%
11,12,Bolton School District,892,110,12.3%
11,13,Bozrah School District,241,52,21.6%
11,14,Branford School District,3250,732,22.5%
11,15,Bridgeport School District,20155,20153,100.0%
11,17,Bristol School District,8289,3048,36.8%
11,18,Brookfield School District,2789,261,9.4%
11,19,Brooklyn School District,937,266,28.4%
11,21,Canaan School District,75,11,14.7%
11,22,Canterbury School District,490,113,23.1%
11,23,Canton School District,1748,176,10.1%
11,24,Chaplin School District,185,60,32.4%
11,25,Cheshire School District,4649,334,7.2%
11,26,Chester School District,251,29,11.6%
11,27,Clinton School District,1977,384,19.4%
11,28,Colchester School District,2875,406,14.1%
11,29,Colebrook School District,104,18,17.3%
11,30,Columbia School District,503,64,12.7%
11,31,Cornwall School District,103,21,20.4%
11,32,Coventry School District,1720,292,17.0%
11,33,Cromwell School District,1971,268,13.6%
11,34,Danbury School District,10611,5465,51.5%
11,35,Darien School District,4840,29,0.6%
11,36,Deep River School District,347,48,13.8%
11,37,Derby School District,1488,792,53.2%
11,39,Eastford School District,166,28,16.9%
11,40,East Granby School District,862,44,5.1%
11,41,East Haddam School District,1239,136,11.0%
11,42,East Hampton School District,1890,249,13.2%
11,43,East Hartford School District,7033,4285,60.9%
11,44,East Haven School District,3214,1410,43.9%
11,45,East Lyme School District,2934,346,11.8%
11,46,Easton School District,1015,20,2.0%
11,47,East Windsor School District,1256,464,36.9%
11,48,Ellington School District,2714,269,9.9%
11,49,Enfield School District,5447,1926,35.4%
11,50,Essex School District,528,61,11.6%
11,51,Fairfield School District,10281,1019,9.9%
11,52,Farmington School District,4045,406,10.0%
11,53,Franklin School District,200,31,15.5%
11,54,Glastonbury School District,6578,561,8.5%
11,56,Granby School District,2099,176,8.4%
11,57,Greenwich School District,8842,1295,14.6%
11,58,Griswold School District,1958,611,31.2%
11,59,Groton School District,4767,2029,42.6%
11,60,Guilford School District,3562,269,7.6%
11,62,Hamden School District,5772,2316,40.1%
