,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Connecticut 2010 Cohort Graduation Rates By District ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Graduates,Non-Graduates,,,,,,,,,,,
District Name,Category,4-Year Graduation Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other,,,,,,,,,
Ansonia School District,All Students,72.5,10.5,0.0,17.0,,,,,,,,,
,Hispanic,60.6,9.1,0.0,30.3,,,,,,,,,
,Non-Hispanic,74.9,10.7,0.0,14.4,,,,,,,,,
,Indian,*,*,*,*,,,,,,,,,
,Asian,*,*,*,*,,,,,,,,,
,Black,67.5,12.5,0.0,20.0,,,,,,,,,
,White,76.9,9.9,0.0,13.2,,,,,,,,,
,Male,60.8,15.6,0.0,23.5,,,,,,,,,
,Female,84.7,5.1,0.0,10.2,,,,,,,,,
,ELL,*,*,*,*,,,,,,,,,
,Non-ELL,72.2,10.6,0.0,17.2,,,,,,,,,
,Eligible For Lunch,68.4,8.9,0.0,22.8,,,,,,,,,
,Not Eligible For Lunch,75.2,11.5,0.0,13.2,,,,,,,,,
,Special Education,44.4,16.6,0.0,38.9,,,,,,,,,
,Non-Special Education,75.3,9.9,0.0,14.8,,,,,,,,,
Avon School District,All Students,91.7,4.0,0.0,4.3,,,,,,,,,
,Hispanic,*,*,*,*,,,,,,,,,
,Non-Hispanic,91.9,3.7,0.0,4.4,,,,,,,,,
,Asian,82.4,5.9,0.0,11.8,,,,,,,,,
,Black,83.3,0.0,0.0,16.7,,,,,,,,,
,White,92.8,3.6,0.0,3.6,,,,,,,,,
,Male,90.5,4.8,0.0,4.8,,,,,,,,,
,Female,93.1,3.1,0.0,3.8,,,,,,,,,
,ELL,*,*,*,*,,,,,,,,,
,Non-ELL,92.0,4.0,0.0,4.0,,,,,,,,,
,Eligible For Lunch,85.7,0.0,0.0,14.3,,,,,,,,,
,Not Eligible For Lunch,91.9,4.1,0.0,4.1,,,,,,,,,
,Special Education,74.2,19.3,0.0,6.5,,,,,,,,,
,Non-Special Education,93.9,2.0,0.0,4.1,,,,,,,,,
Berlin School District,All Students,90.5,4.1,0.0,5.4,,,,,,,,,
,Hispanic,*,*,*,*,,,,,,,,,
,Non-Hispanic,92.3,2.6,0.0,5.1,,,,,,,,,
,Asian,90.9,0.0,0.0,9.1,,,,,,,,,
,Black,*,*,*,*,,,,,,,,,
,White,92.8,2.7,0.0,4.5,,,,,,,,,
,Male,89.8,6.3,0.0,3.9,,,,,,,,,
,Female,91.2,1.8,0.0,7.0,,,,,,,,,
,ELL,*,*,*,*,,,,,,,,,
,Non-ELL,90.4,4.2,0.0,5.4,,,,,,,,,
,Eligible For Lunch,71.4,14.2,0.0,14.3,,,,,,,,,
,Not Eligible For Lunch,91.7,3.5,0.0,4.8,,,,,,,,,
,Special Education,64.5,22.5,0.0,12.9,,,,,,,,,
,Non-Special Education,94.3,1.4,0.0,4.3,,,,,,,,,
Bethel School District,All Students,91.8,3.4,0.0,4.9,,,,,,,,,
