,,,,,,,,
,,,,,,,,
Connecticut 2011 Cohort Graduation Rates By District ,,,,,,,,
,,,,,,,,
,,Graduates,Non-Graduates,,,,,
District Name,Category,4-Year Graduation Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other,,,
Ansonia School District,All Students,69.1,12.2,0.0,18.6,,,
,Hispanic,57.5,22.5,0.0,20.0,,,
,Non-Hispanic,72.3,9.5,0.0,18.2,,,
,American Indian,*,*,*,*,,,
,Asian American ,*,*,*,*,,,
,Black,72.5,9.8,0.0,17.6,,,
,White,73.6,8.8,0.0,17.6,,,
,Male,66.0,16.0,0.0,18.1,,,
,Female,72.3,8.5,0.0,19.1,,,
,ELL,*,*,*,*,,,
,Non-ELL,69.0,12.0,0.0,19.0,,,
,Eligible For Lunch,55.0,19.0,0.0,26.0,,,
,Not Eligible For Lunch,85.2,4.5,0.0,10.2,,,
,Special Education,40.9,36.4,0.0,22.7,,,
,Non-Special Education,72.9,9.0,0.0,18.1,,,
Avon School District,All Students,95.7,3.5,0.0,0.8,,,
,Hispanic,92.9,7.1,0.0,0.0,,,
,Non-Hispanic,95.8,3.3,0.0,0.8,,,
,American Indian,*,*,*,*,,,
,Asian American ,94.7,0.0,0.0,5.3,,,
,Black,87.5,12.5,0.0,0.0,,,
,White,96.2,3.3,0.0,0.5,,,
,Male,93.2,5.9,0.0,0.8,,,
,Female,97.8,1.5,0.0,0.7,,,
,ELL,*,*,*,*,,,
,Non-ELL,96.0,3.6,0.0,0.4,,,
,Eligible For Lunch,100.0,0.0,0.0,0.0,,,
,Not Eligible For Lunch,95.6,3.6,0.0,0.8,,,
,Special Education,84.0,16.0,0.0,0.0,,,
,Non-Special Education,96.9,2.2,0.0,0.9,,,
Berlin School District,All Students,93.9,1.1,0.0,5.0,,,
,Hispanic,83.3,0.0,0.0,16.7,,,
,Non-Hispanic,94.1,1.2,0.0,4.7,,,
,American Indian,*,*,*,*,,,
,Asian American ,100.0,0.0,0.0,0.0,,,
,Black,*,*,*,*,,,
,White,93.9,1.2,0.0,4.9,,,
,Male,94.1,0.7,0.0,5.1,,,
,Female,93.6,1.6,0.0,4.8,,,
,ELL,*,*,*,*,,,
,Non-ELL,93.8,1.2,0.0,5.1,,,
,Eligible For Lunch,64.3,0.0,0.0,35.7,,,
,Not Eligible For Lunch,95.5,1.2,0.0,3.2,,,
,Special Education,89.7,0.0,0.0,10.3,,,
,Non-Special Education,94.4,1.3,0.0,4.3,,,
Bethel School District,All Students,92.8,5.6,0.0,1.6,,,
,Hispanic,90.5,9.5,0.0,0.0,,,
,Non-Hispanic,93.0,5.2,0.0,1.7,,,
,Asian American ,100.0,0.0,0.0,0.0,,,
,Black,83.3,16.7,0.0,0.0,,,
,White,92.7,5.3,0.0,1.9,,,
,Male,89.7,9.4,0.0,0.9,,,
,Female,95.5,2.3,0.0,2.3,,,
,ELL,*,*,*,*,,,
,Non-ELL,92.7,5.6,0.0,1.6,,,
,Eligible For Lunch,84.2,10.5,0.0,5.3,,,
,Not Eligible For Lunch,93.5,5.2,0.0,1.3,,,
,Special Education,60.7,39.3,0.0,0.0,,,
,Non-Special Education,96.8,1.4,0.0,1.8,,,
Bloomfield School District,All Students,74.3,14.4,0.0,11.2,,,
,Hispanic,28.6,28.6,0.0,42.9,,,
,Non-Hispanic,76.1,13.9,0.0,10.0,,,
,Asian American ,*,*,*,*,,,
,Black,76.3,13.6,0.0,10.1,,,
,White,57.1,28.6,0.0,14.3,,,
,Male,66.3,21.1,0.0,12.6,,,
,Female,82.6,7.6,0.0,9.8,,,
,ELL,*,*,*,*,,,
,Non-ELL,74.2,14.5,0.0,11.3,,,
,Eligible For Lunch,67.6,21.1,0.0,11.3,,,
,Not Eligible For Lunch,78.4,10.3,0.0,11.2,,,
,Special Education,46.4,42.9,0.0,10.7,,,
,Non-Special Education,79.2,9.4,0.0,11.3,,,
Bolton School District,All Students,94.6,0.0,0.0,5.4,,,
,Hispanic,*,*,*,*,,,
,Non-Hispanic,94.5,0.0,0.0,5.5,,,
,American Indian,*,*,*,*,,,
,Black,*,*,*,*,,,
,White,95.6,0.0,0.0,4.4,,,
,Male,92.3,0.0,0.0,7.7,,,
,Female,95.8,0.0,0.0,4.2,,,
,Non-ELL,94.6,0.0,0.0,5.4,,,
,Eligible For Lunch,71.4,0.0,0.0,28.6,,,
,Not Eligible For Lunch,97.0,0.0,0.0,3.0,,,
,Special Education,*,*,*,*,,,
,Non-Special Education,94.2,0.0,0.0,5.8,,,
Branford School District,All Students,93.7,2.8,0.0,3.5,,,
,Hispanic,88.9,0.0,0.0,11.1,,,
,Non-Hispanic,93.8,2.9,0.0,3.3,,,
,American Indian,*,*,*,*,,,
,Asian American ,94.7,0.0,0.0,5.3,,,
,Black,90.0,0.0,0.0,10.0,,,
,White,93.9,3.3,0.0,2.9,,,
,Male,92.6,2.7,0.0,4.7,,,
,Female,94.8,3.0,0.0,2.2,,,
,ELL,*,*,*,*,,,
,Non-ELL,93.6,2.9,0.0,3.6,,,
,Eligible For Lunch,77.5,7.5,0.0,15.0,,,
,Not Eligible For Lunch,96.3,2.0,0.0,1.6,,,
,Special Education,77.8,13.9,0.0,8.3,,,
,Non-Special Education,96.0,1.2,0.0,2.8,,,
Bridgeport School District,All Students,60.5,13.2,0.0,26.4,,,
,Hispanic,50.5,14.0,0.0,35.5,,,
,Non-Hispanic,68.1,12.5,0.0,19.5,,,
,American Indian,*,*,*,*,,,
,Asian American ,82.9,8.6,0.0,8.6,,,
,Black,67.3,12.0,0.0,20.7,,,
,White,67.5,16.7,0.0,15.8,,,
,Male,53.8,17.1,0.0,29.1,,,
,Female,67.6,8.9,0.0,23.5,,,
,ELL,51.9,10.2,0.0,37.9,,,
,Non-ELL,61.9,13.6,0.0,24.5,,,
,Eligible For Lunch,60.7,12.6,0.0,26.8,,,
,Not Eligible For Lunch,57.6,21.2,0.0,21.2,,,
,Special Education,36.4,27.7,0.0,35.9,,,
,Non-Special Education,64.0,11.0,0.0,25.0,,,
Bristol School District,All Students,76.7,9.6,0.0,13.7,,,
,Hispanic,69.6,15.2,0.0,15.2,,,
,Non-Hispanic,77.6,8.9,0.0,13.5,,,
,American Indian,*,*,*,*,,,
,Asian American ,81.8,9.1,0.0,9.1,,,
,Black,60.8,19.6,0.0,19.6,,,
,White,79.2,8.0,0.0,12.9,,,
,Male,73.0,11.6,0.0,15.3,,,
,Female,80.4,7.6,0.0,12.0,,,
,ELL,72.7,9.1,0.0,18.2,,,
,Non-ELL,76.8,9.6,0.0,13.6,,,
,Eligible For Lunch,58.7,14.8,0.0,26.5,,,
