2013 Cohort Graduation Rates By District,,,,,
,,,,,
,,,,,
,,Graduates,Non-Graduates,,
DistrictName,Category,4-Year Graduation Rate,Still Enrolled,Other,
Ansonia School District,All Students,75.5,11.8,12.7,
Ansonia School District,Hispanic,65.3,16.3,18.4,
Ansonia School District,Non-Hispanic,78.5,10.4,11.0,
Ansonia School District,Asian,*,*,*,
Ansonia School District,Black,70.8,6.3,22.9,
Ansonia School District,Hawaiian or Pacific Islander,*,*,*,
Ansonia School District,White,81.1,12.6,6.3,
Ansonia School District,Male,61.7,21.5,16.8,
Ansonia School District,Female,89.5,1.9,8.6,
Ansonia School District,ELL,61.5,23.1,15.4,
Ansonia School District,Non-ELL,76.4,11.1,12.6,
Ansonia School District,Eligible For Free Lunch,65.4,12.1,22.4,
Ansonia School District,Eligible For Reduced Lunch,81.1,13.5,5.4,
Ansonia School District,Not Eligible For Lunch,88.2,10.3,1.5,
Ansonia School District,Special Education,64.0,28.0,8.0,
Ansonia School District,Non-Special Education,77.0,9.6,13.4,
Avon School District,All Students,95.8,3.4,0.8,
Avon School District,Hispanic,91.7,8.3,††,
Avon School District,Non-Hispanic,96.0,3.2,0.8,
Avon School District,Asian,100.0,††,††,
Avon School District,Black,71.4,14.3,14.3,
Avon School District,Hawaiian or Pacific Islander,*,*,*,
Avon School District,White,96.8,3.2,††,
Avon School District,Two or More Races,*,*,*,
Avon School District,Male,96.5,2.8,0.7,
Avon School District,Female,95.1,4.1,0.8,
Avon School District,ELL,*,*,*,
Avon School District,Non-ELL,95.8,3.4,0.8,
Avon School District,Eligible For Free Lunch,77.8,11.1,11.1,
Avon School District,Eligible For Reduced Lunch,*,*,*,
Avon School District,Not Eligible For Lunch,96.4,3.2,0.4,
Avon School District,Special Education,84.8,12.1,3.0,
Avon School District,Non-Special Education,97.4,2.2,0.4,
Berlin School District,All Students,96.2,1.1,2.7,
Berlin School District,Hispanic,88.9,††,11.1,
Berlin School District,Non-Hispanic,96.7,1.2,2.0,
Berlin School District,Asian,100.0,††,††,
Berlin School District,Black,*,*,*,
Berlin School District,White,96.9,0.9,2.2,
Berlin School District,Two or More Races,*,*,*,
Berlin School District,Male,96.7,††,3.3,
Berlin School District,Female,95.7,2.2,2.2,
Berlin School District,ELL,*,*,*,
Berlin School District,Non-ELL,96.1,1.2,2.7,
Berlin School District,Eligible For Free Lunch,80.0,12.0,8.0,
Berlin School District,Eligible For Reduced Lunch,100.0,††,††,
Berlin School District,Not Eligible For Lunch,97.8,††,2.2,
Berlin School District,Special Education,87.5,4.2,8.3,
Berlin School District,Non-Special Education,97.1,0.8,2.1,
Bethel School District,All Students,92.7,6.0,1.3,
Bethel School District,Hispanic,76.9,19.2,3.8,
Bethel School District,Non-Hispanic,94.7,4.3,1.0,
Bethel School District,Indian or Alaska Native,*,*,*,
Bethel School District,Asian,93.3,6.7,††,
Bethel School District,Black,90.9,††,9.1,
Bethel School District,White,95.0,4.4,0.6,
Bethel School District,Two or More Races,*,*,*,
Bethel School District,Male,94.0,5.2,0.9,
Bethel School District,Female,91.5,6.8,1.7,
Bethel School District,ELL,*,*,*,
Bethel School District,Non-ELL,93.4,5.2,1.3,
Bethel School District,Eligible For Free Lunch,72.0,20.0,8.0,
Bethel School District,Eligible For Reduced Lunch,86.7,13.3,††,
Bethel School District,Not Eligible For Lunch,95.9,3.6,0.5,
Bethel School District,Special Education,59.1,31.8,9.1,
Bethel School District,Non-Special Education,96.2,3.3,0.5,
Bloomfield School District,All Students,88.5,5.5,6.1,
Bloomfield School District,Hispanic,71.4,7.1,21.4,
Bloomfield School District,Non-Hispanic,90.1,5.3,4.6,
Bloomfield School District,Asian,*,*,*,
Bloomfield School District,Black,89.4,5.7,5.0,
Bloomfield School District,White,100.0,††,††,
Bloomfield School District,Two or More Races,*,*,*,
Bloomfield School District,Male,85.5,7.2,7.2,
Bloomfield School District,Female,91.5,3.7,4.9,
Bloomfield School District,ELL,*,*,*,
Bloomfield School District,Non-ELL,88.9,4.9,6.2,
Bloomfield School District,Eligible For Free Lunch,79.4,10.3,10.3,
Bloomfield School District,Eligible For Reduced Lunch,92.3,7.7,††,
Bloomfield School District,Not Eligible For Lunch,95.8,††,4.2,
Bloomfield School District,Special Education,73.7,15.8,10.5,
Bloomfield School District,Non-Special Education,90.4,4.1,5.5,
Bolton School District,All Students,97.5,††,2.5,
Bolton School District,Hispanic,*,*,*,
Bolton School District,Non-Hispanic,97.5,††,2.5,
Bolton School District,Asian,*,*,*,
Bolton School District,White,97.4,††,2.6,
Bolton School District,Two or More Races,*,*,*,
Bolton School District,Male,97.2,††,2.8,
Bolton School District,Female,97.8,††,2.2,
Bolton School District,Non-ELL,97.5,††,2.5,
Bolton School District,Eligible For Free Lunch,100.0,††,††,
Bolton School District,Eligible For Reduced Lunch,*,*,*,
Bolton School District,Not Eligible For Lunch,97.2,††,2.8,
Bolton School District,Special Education,90.9,††,9.1,
Bolton School District,Non-Special Education,98.6,††,1.4,
Branford School District,All Students,92.3,3.3,4.4,
Branford School District,Hispanic,100.0,††,††,
Branford School District,Non-Hispanic,91.8,3.5,4.7,
Branford School District,Indian or Alaska Native,*,*,*,
Branford School District,Asian,85.0,15.0,††,
Branford School District,Black,100.0,††,††,
Branford School District,White,91.8,2.7,5.5,
Branford School District,Two or More Races,*,*,*,
Branford School District,Male,90.7,5.9,3.4,
Branford School District,Female,93.5,1.3,5.2,
Branford School District,ELL,*,*,*,
Branford School District,Non-ELL,92.2,3.4,4.5,
Branford School District,Eligible For Free Lunch,86.8,7.9,5.3,
Branford School District,Eligible For Reduced Lunch,85.7,9.5,4.8,
Branford School District,Not Eligible For Lunch,93.9,1.9,4.2,
Branford School District,Special Education,78.8,15.2,6.1,
Branford School District,Non-Special Education,94.1,1.7,4.2,
Bridgeport School District,All Students,67.3,11.0,21.7,
Bridgeport School District,Hispanic,61.3,12.5,26.2,
Bridgeport School District,Non-Hispanic,72.2,9.7,18.1,
Bridgeport School District,Indian or Alaska Native,86.5,2.7,10.8,
Bridgeport School District,Asian,86.8,5.3,7.9,
Bridgeport School District,Black,70.9,10.6,18.5,
Bridgeport School District,Hawaiian or Pacific Islander,*,*,*,
Bridgeport School District,White,64.8,9.9,25.4,
Bridgeport School District,Two or More Races,*,*,*,
Bridgeport School District,Male,61.9,14.2,23.9,
Bridgeport School District,Female,72.6,7.8,19.6,
Bridgeport School District,ELL,58.2,10.6,31.2,
Bridgeport School District,Non-ELL,68.7,11.0,20.2,
Bridgeport School District,Eligible For Free Lunch,66.6,11.1,22.3,
Bridgeport School District,Eligible For Reduced Lunch,76.4,9.7,13.9,
Bridgeport School District,Not Eligible For Lunch,76.9,7.7,15.4,
Bridgeport School District,Special Education,50.0,20.6,29.4,
Bridgeport School District,Non-Special Education,70.3,9.3,20.4,
Bristol School District,All Students,79.8,8.5,11.7,
Bristol School District,Hispanic,60.0,14.3,25.7,
Bristol School District,Non-Hispanic,83.8,7.4,8.9,
Bristol School District,Indian or Alaska Native,*,*,*,
Bristol School District,Asian,88.9,11.1,††,
Bristol School District,Black,64.9,16.2,18.9,
Bristol School District,White,85.3,6.6,8.1,
Bristol School District,Two or More Races,76.9,7.7,15.4,
Bristol School District,Male,77.5,10.1,12.4,
Bristol School District,Female,82.5,6.7,10.8,
Bristol School District,ELL,52.0,28.0,20.0,
Bristol School District,Non-ELL,81.0,7.7,11.3,
Bristol School District,Eligible For Free Lunch,56.0,16.3,27.7,
Bristol School District,Eligible For Reduced Lunch,77.2,6.3,16.5,
Bristol School District,Not Eligible For Lunch,90.5,5.6,3.8,
Bristol School District,Special Education,55.4,23.8,20.8,
Bristol School District,Non-Special Education,84.5,5.6,9.9,
Brookfield School District,All Students,95.9,1.2,2.9,
Brookfield School District,Hispanic,85.7,††,14.3,
Brookfield School District,Non-Hispanic,96.2,1.3,2.6,
Brookfield School District,Asian,100.0,††,††,
Brookfield School District,Black,62.5,12.5,25.0,
Brookfield School District,White,97.2,0.9,1.8,
Brookfield School District,Male,94.9,1.7,3.4,
Brookfield School District,Female,96.8,0.8,2.4,
Brookfield School District,ELL,*,*,*,
Brookfield School District,Non-ELL,95.9,1.2,2.9,
Brookfield School District,Eligible For Free Lunch,89.5,5.3,5.3,
Brookfield School District,Eligible For Reduced Lunch,77.8,††,22.2,
Brookfield School District,Not Eligible For Lunch,97.2,0.9,1.9,
Brookfield School District,Special Education,80.0,6.7,13.3,
Brookfield School District,Non-Special Education,96.9,0.9,2.2,
Canton School District,All Students,94.4,5.6,††,
Canton School District,Hispanic,*,*,*,
Canton School District,Non-Hispanic,94.2,5.8,††,
Canton School District,Asian,*,*,*,
Canton School District,Black,*,*,*,
Canton School District,White,94.7,5.3,††,
Canton School District,Two or More Races,*,*,*,
Canton School District,Male,95.1,4.9,††,
Canton School District,Female,93.7,6.3,††,
Canton School District,Non-ELL,94.4,5.6,††,
Canton School District,Eligible For Free Lunch,87.5,12.5,††,
Canton School District,Eligible For Reduced Lunch,100.0,††,††,
Canton School District,Not Eligible For Lunch,94.4,5.6,††,
Canton School District,Special Education,72.2,27.8,††,
Canton School District,Non-Special Education,98.1,1.9,††,
Cheshire School District,All Students,94.3,4.2,1.6,
Cheshire School District,Hispanic,83.3,16.7,††,
Cheshire School District,Non-Hispanic,94.6,3.8,1.6,
Cheshire School District,Indian or Alaska Native,*,*,*,
Cheshire School District,Asian,95.8,4.2,††,
Cheshire School District,Black,*,*,*,
Cheshire School District,White,94.5,3.8,1.7,
Cheshire School District,Male,92.3,6.2,1.5,
Cheshire School District,Female,96.3,2.1,1.6,
Cheshire School District,ELL,*,*,*,
Cheshire School District,Non-ELL,94.2,4.2,1.6,
Cheshire School District,Eligible For Free Lunch,90.9,9.1,††,
Cheshire School District,Eligible For Reduced Lunch,76.9,15.4,7.7,
Cheshire School District,Not Eligible For Lunch,95.1,3.4,1.4,
Cheshire School District,Special Education,74.1,22.4,3.4,
Cheshire School District,Non-Special Education,97.9,0.9,1.2,
Clinton School District,All Students,88.3,6.9,4.8,
Clinton School District,Hispanic,83.3,16.7,††,
Clinton School District,Non-Hispanic,88.7,6.0,5.3,
Clinton School District,Asian,*,*,*,
Clinton School District,Hawaiian or Pacific Islander,*,*,*,
Clinton School District,White,87.7,6.6,5.7,
Clinton School District,Two or More Races,100.0,††,††,
Clinton School District,Male,85.3,6.7,8.0,
Clinton School District,Female,91.4,7.1,1.4,
Clinton School District,ELL,*,*,*,
Clinton School District,Non-ELL,88.7,6.4,5.0,
Clinton School District,Eligible For Free Lunch,81.0,14.3,4.8,
Clinton School District,Eligible For Reduced Lunch,87.5,12.5,††,
Clinton School District,Not Eligible For Lunch,89.7,5.2,5.2,
Clinton School District,Special Education,66.7,20.8,12.5,
Clinton School District,Non-Special Education,92.6,4.1,3.3,
Colchester School District,All Students,93.3,5.1,1.6,
Colchester School District,Hispanic,91.7,8.3,††,
Colchester School District,Non-Hispanic,93.4,5.0,1.7,
Colchester School District,Indian or Alaska Native,*,*,*,
Colchester School District,Asian,*,*,*,
Colchester School District,Black,91.7,8.3,††,
Colchester School District,White,93.3,4.9,1.8,
Colchester School District,Male,90.4,7.2,2.4,
Colchester School District,Female,96.1,3.1,0.8,
Colchester School District,ELL,*,*,*,
Colchester School District,Non-ELL,93.2,5.2,1.6,
