 TABLE 3. 2011-12 PKIS Distribution of Publicly-funded PK Slots by Location,,,
,,,
Location ID,Location,School Year,Number of Students
1,Andover,2011-12,*
2,Ansonia,2011-12,127
3,Ashford,2011-12,7
5,Barkhamsted,2011-12,*
6,Beacon Falls,2011-12,18
7,Berlin,2011-12,*
9,Bethel,2011-12,6
10,Bethlehem,2011-12,*
11,Bloomfield,2011-12,93
12,Bolton,2011-12,*
14,Branford,2011-12,41
15,Bridgeport,2011-12,1860
16,Bridgewater,2011-12,6
17,Bristol,2011-12,333
19,Brooklyn,2011-12,29
20,Burlington,2011-12,*
21,Canaan,2011-12,12
22,Canterbury,2011-12,*
24,Chaplin,2011-12,*
25,Cheshire,2011-12,*
27,Clinton,2011-12,26
28,Colchester,2011-12,32
29,Colebrook,2011-12,*
30,Columbia,2011-12,*
32,Coventry,2011-12,24
33,Cromwell,2011-12,7
34,Danbury,2011-12,462
35,Darien,2011-12,*
37,Derby,2011-12,61
38,Durham,2011-12,*
39,Eastford,2011-12,*
40,East Granby,2011-12,*
41,East Haddam,2011-12,*
43,East Hartford,2011-12,445
44,East Haven,2011-12,8
45,East Lyme,2011-12,8
46,Easton,2011-12,*
48,Ellington,2011-12,9
49,Enfield,2011-12,78
51,Fairfield,2011-12,*
52,Farmington,2011-12,*
54,Glastonbury,2011-12,*
57,Greenwich,2011-12,121
58,Griswold,2011-12,36
59,Groton,2011-12,109
60,Guilford,2011-12,21
61,Haddam,2011-12,*
62,Hamden,2011-12,35
63,Hampton,2011-12,*
64,Hartford,2011-12,2191
65,Hartland,2011-12,*
66,Harwinton,2011-12,*
69,Killingly,2011-12,50
70,Killingworth,2011-12,*
71,Lebanon,2011-12,*
72,Ledyard,2011-12,8
73,Lisbon,2011-12,*
74,Litchfield,2011-12,*
76,Madison,2011-12,*
77,Manchester,2011-12,82
78,Mansfield,2011-12,24
79,Marlborough,2011-12,*
80,Meriden,2011-12,565
81,Middlebury,2011-12,*
82,Middlefield,2011-12,*
83,Middletown,2011-12,368
84,Milford,2011-12,85
85,Monroe,2011-12,*
86,Montville,2011-12,23
87,Morris,2011-12,*
88,Naugatuck,2011-12,36
89,New Britain,2011-12,606
90,New Canaan,2011-12,7
92,New Hartford,2011-12,*
93,New Haven,2011-12,523
94,Newington,2011-12,32
95,New London,2011-12,187
96,New Milford,2011-12,30
97,Newtown,2011-12,28
98,Norfolk,2011-12,*
99,North Branford,2011-12,*
100,North Canaan,2011-12,*
101,North Haven,2011-12,22
103,Norwalk,2011-12,750
104,Norwich,2011-12,154
105,Old Lyme,2011-12,*
107,Orange,2011-12,*
108,Oxford,2011-12,6
109,Plainfield,2011-12,40
110,Plainville,2011-12,45
111,Plymouth,2011-12,30
112,Pomfret,2011-12,*
113,Portland,2011-12,27
114,Preston,2011-12,*
115,Prospect,2011-12,*
116,Putnam,2011-12,*
118,Ridgefield,2011-12,*
119,Rocky Hill,2011-12,*
121,Salem,2011-12,*
124,Seymour,2011-12,33
126,Shelton,2011-12,38
129,Somers,2011-12,*
130,Southbury,2011-12,*
131,Southington,2011-12,55
132,South Windsor,2011-12,*
134,Stafford,2011-12,*
135,Stamford,2011-12,570
136,Sterling,2011-12,*
137,Stonington,2011-12,19
138,Stratford,2011-12,129
139,Suffield,2011-12,*
140,Thomaston,2011-12,13
141,Thompson,2011-12,7
142,Tolland,2011-12,*
143,Torrington,2011-12,56
144,Trumbull,2011-12,*
146,Vernon,2011-12,82
147,Voluntown,2011-12,*
148,Wallingford,2011-12,32
150,Washington,2011-12,*
151,Waterbury,2011-12,1281
152,Waterford,2011-12,*
153,Watertown,2011-12,23
154,Westbrook,2011-12,*
155,West Hartford,2011-12,32
156,West Haven,2011-12,428
159,Wethersfield,2011-12,16
160,Willington,2011-12,*
161,Wilton,2011-12,*
162,Winchester,2011-12,18
163,Windham,2011-12,191
164,Windsor,2011-12,58
165,Windsor Locks,2011-12,*
166,Wolcott,2011-12,12
169,Woodstock,2011-12,*
999,Out-of-State,2011-12,*
,State Totals,2011-12,13155
