District ID,District Name,School Year,Pre Kindergarten
288,Achievement First Hartford Academy Inc.,2011-12,-
279,Amistad Academy District,2011-12,-
1,Andover School District,2011-12,28
2,Ansonia School District,2011-12,102
244,Area Cooperative Educational Services,2011-12,-
3,Ashford School District,2011-12,48
4,Avon School District,2011-12,41
5,Barkhamsted School District,2011-12,19
7,Berlin School District,2011-12,37
8,Bethany School District,2011-12,11
9,Bethel School District,2011-12,110
11,Bloomfield School District,2011-12,216
12,Bolton School District,2011-12,12
13,Bozrah School District,2011-12,21
14,Branford School District,2011-12,71
285,Bridgeport Achievement First,2011-12,-
15,Bridgeport School District,2011-12,786
17,Bristol School District,2011-12,269
18,Brookfield School District,2011-12,43
19,Brooklyn School District,2011-12,111
21,Canaan School District,2011-12,-
22,Canterbury School District,2011-12,30
23,Canton School District,2011-12,27
241,Capitol Region Education Council,2011-12,607
24,Chaplin School District,2011-12,28
25,Cheshire School District,2011-12,67
26,Chester School District,2011-12,-
27,Clinton School District,2011-12,40
28,Colchester School District,2011-12,72
29,Colebrook School District,2011-12,-
30,Columbia School District,2011-12,20
268,Common Ground High School District,2011-12,-
900,Connecticut Technical High School System,2011-12,-
243,Cooperative Educational Services,2011-12,131
31,Cornwall School District,2011-12,-
32,Coventry School District,2011-12,18
33,Cromwell School District,2011-12,27
34,Danbury School District,2011-12,155
35,Darien School District,2011-12,73
36,Deep River School District,2011-12,-
37,Derby School District,2011-12,36
40,East Granby School District,2011-12,9
41,East Haddam School District,2011-12,25
42,East Hampton School District,2011-12,28
43,East Hartford School District,2011-12,297
44,East Haven School District,2011-12,115
45,East Lyme School District,2011-12,51
47,East Windsor School District,2011-12,57
253,Eastern Connecticut Regional Educational Service C,2011-12,-
39,Eastford School District,2011-12,15
46,Easton School District,2011-12,25
242,Education Connection,2011-12,184
48,Ellington School District,2011-12,63
289,Elm City College Preparatory School,2011-12,-
49,Enfield School District,2011-12,172
50,Essex School District,2011-12,39
272,Explorations District,2011-12,-
51,Fairfield School District,2011-12,133
52,Farmington School District,2011-12,62
53,Franklin School District,2011-12,22
54,Glastonbury School District,2011-12,63
56,Granby School District,2011-12,-
57,Greenwich School District,2011-12,136
58,Griswold School District,2011-12,85
59,Groton School District,2011-12,236
60,Guilford School District,2011-12,50
62,Hamden School District,2011-12,99
63,Hampton School District,2011-12,23
64,Hartford School District,2011-12,932
65,Hartland School District,2011-12,16
67,Hebron School District,2011-12,47
286,Highville Charter School District,2011-12,43
264,Integrated Day Charter School District,2011-12,33
265,Interdistrict School for Arts and Comm District,2011-12,-
261,Jumoke Academy District,2011-12,42
68,Kent School District,2011-12,5
69,Killingly School District,2011-12,100
245,Learn,2011-12,354
71,Lebanon School District,2011-12,64
72,Ledyard School District,2011-12,49
73,Lisbon School District,2011-12,40
74,Litchfield School District,2011-12,19
76,Madison School District,2011-12,-
77,Manchester School District,2011-12,250
78,Mansfield School District,2011-12,87
79,Marlborough School District,2011-12,17
80,Meriden School District,2011-12,272
83,Middletown School District,2011-12,99
84,Milford School District,2011-12,143
85,Monroe School District,2011-12,39
86,Montville School District,2011-12,41
88,Naugatuck School District,2011-12,120
280,"New Beginnings Inc., Family Academy District",2011-12,-
89,New Britain School District,2011-12,409
90,New Canaan School District,2011-12,24
91,New Fairfield School District,2011-12,73
92,New Hartford School District,2011-12,6
93,New Haven School District,2011-12,1832
95,New London School District,2011-12,35
96,New Milford School District,2011-12,74
94,Newington School District,2011-12,65
97,Newtown School District,2011-12,66
98,Norfolk School District,2011-12,11
99,North Branford School District,2011-12,22
100,North Canaan School District,2011-12,20
101,North Haven School District,2011-12,40
102,North Stonington School District,2011-12,43
103,Norwalk School District,2011-12,229
901,Norwich Free Academy,2011-12,-
104,Norwich School District,2011-12,240
263,Odyssey Community School District,2011-12,-
106,Old Saybrook School District,2011-12,56
107,Orange School District,2011-12,20
108,Oxford School District,2011-12,25
283,Park City Prep Charter School,2011-12,-
109,Plainfield School District,2011-12,58
110,Plainville School District,2011-12,39
111,Plymouth School District,2011-12,62
112,Pomfret School District,2011-12,20
113,Portland School District,2011-12,15
114,Preston School District,2011-12,17
116,Putnam School District,2011-12,99
117,Redding School District,2011-12,69
201,Regional School District 01,2011-12,-
204,Regional School District 04,2011-12,-
205,Regional School District 05,2011-12,-
206,Regional School District 06,2011-12,16
207,Regional School District 07,2011-12,-
208,Regional School District 08,2011-12,-
209,Regional School District 09,2011-12,-
210,Regional School District 10,2011-12,44
211,Regional School District 11,2011-12,-
212,Regional School District 12,2011-12,17
213,Regional School District 13,2011-12,21
214,Regional School District 14,2011-12,45
215,Regional School District 15,2011-12,45
216,Regional School District 16,2011-12,72
217,Regional School District 17,2011-12,40
218,Regional School District 18,2011-12,50
219,Regional School District 19,2011-12,-
118,Ridgefield School District,2011-12,41
119,Rocky Hill School District,2011-12,40
121,Salem School District,2011-12,9
122,Salisbury School District,2011-12,21
123,Scotland School District,2011-12,13
124,Seymour School District,2011-12,22
125,Sharon School District,2011-12,8
126,Shelton School District,2011-12,43
127,Sherman School District,2011-12,23
270,Side By Side Charter School District,2011-12,38
128,Simsbury School District,2011-12,16
129,Somers School District,2011-12,21
132,South Windsor School District,2011-12,72
131,Southington School District,2011-12,89
133,Sprague School District,2011-12,41
134,Stafford School District,2011-12,137
282,Stamford Academy,2011-12,-
135,Stamford School District,2011-12,63
136,Sterling School District,2011-12,40
137,Stonington School District,2011-12,36
138,Stratford School District,2011-12,144
139,Suffield School District,2011-12,34
269,The Bridge Academy District,2011-12,-
902,The Gilbert School,2011-12,-
140,Thomaston School District,2011-12,25
141,Thompson School District,2011-12,31
142,Tolland School District,2011-12,40
143,Torrington School District,2011-12,16
278,Trailblazers Academy District,2011-12,-
144,Trumbull School District,2011-12,237
145,Union School District,2011-12,-
146,Vernon School District,2011-12,143
147,Voluntown School District,2011-12,33
148,Wallingford School District,2011-12,136
151,Waterbury School District,2011-12,617
152,Waterford School District,2011-12,-
153,Watertown School District,2011-12,90
155,West Hartford School District,2011-12,158
156,West Haven School District,2011-12,100
154,Westbrook School District,2011-12,30
157,Weston School District,2011-12,30
158,Westport School District,2011-12,39
159,Wethersfield School District,2011-12,66
160,Willington School District,2011-12,20
161,Wilton School District,2011-12,50
162,Winchester School District,2011-12,22
163,Windham School District,2011-12,229
165,Windsor Locks School District,2011-12,40
164,Windsor School District,2011-12,46
166,Wolcott School District,2011-12,53
167,Woodbridge School District,2011-12,23
903,Woodstock Academy,2011-12,-
169,Woodstock School District,2011-12,27
288,Achievement First Hartford Academy Inc.,2010-11,-
279,Amistad Academy District,2010-11,-
1,Andover School District,2010-11,33
2,Ansonia School District,2010-11,94
