District ID,District Name,School Year,Percentage of Kindergarteners with PreK Experience
288,Achievement First Hartford Academy Inc.,2010-11,95.5
279,Amistad Academy District,2010-11,82.2
1,Andover School District,2010-11,92.9
2,Ansonia School District,2010-11,80.4
244,Area Cooperative Educational Services,2010-11,84.1
3,Ashford School District,2010-11,95.8
4,Avon School District,2010-11,82.7
5,Barkhamsted School District,2010-11,77.6
7,Berlin School District,2010-11,93.8
8,Bethany School District,2010-11,88.7
9,Bethel School District,2010-11,76.7
11,Bloomfield School District,2010-11,93.9
12,Bolton School District,2010-11,91.5
13,Bozrah School District,2010-11,77.4
14,Branford School District,2010-11,87.6
15,Bridgeport School District,2010-11,63.9
17,Bristol School District,2010-11,82.8
18,Brookfield School District,2010-11,82.7
19,Brooklyn School District,2010-11,89.7
21,Canaan School District,2010-11,90.9
22,Canterbury School District,2010-11,84.8
23,Canton School District,2010-11,94.1
241,Capitol Region Education Council,2010-11,85.8
24,Chaplin School District,2010-11,70
287,Charter School for Young Children on Asylum Hill,2010-11,100
25,Cheshire School District,2010-11,91.9
26,Chester School District,2010-11,97
27,Clinton School District,2010-11,89.7
28,Colchester School District,2010-11,89.1
29,Colebrook School District,2010-11,85.7
30,Columbia School District,2010-11,88.5
243,Cooperative Educational Services,2010-11,95.6
31,Cornwall School District,2010-11,80
32,Coventry School District,2010-11,80
33,Cromwell School District,2010-11,96.2
34,Danbury School District,2010-11,77.9
35,Darien School District,2010-11,95.3
36,Deep River School District,2010-11,93.8
37,Derby School District,2010-11,63.4
40,East Granby School District,2010-11,81.5
41,East Haddam School District,2010-11,87.7
42,East Hampton School District,2010-11,86
43,East Hartford School District,2010-11,71.1
44,East Haven School District,2010-11,68.2
45,East Lyme School District,2010-11,92.4
47,East Windsor School District,2010-11,97.8
39,Eastford School District,2010-11,82.6
46,Easton School District,2010-11,96.3
48,Ellington School District,2010-11,75.9
289,Elm City College Preparatory School,2010-11,81
49,Enfield School District,2010-11,64.6
50,Essex School District,2010-11,96.4
51,Fairfield School District,2010-11,94
52,Farmington School District,2010-11,86.4
53,Franklin School District,2010-11,100
54,Glastonbury School District,2010-11,92.3
56,Granby School District,2010-11,93.6
57,Greenwich School District,2010-11,92.7
58,Griswold School District,2010-11,90.2
59,Groton School District,2010-11,78.8
60,Guilford School District,2010-11,88.3
62,Hamden School District,2010-11,83.4
63,Hampton School District,2010-11,100
64,Hartford School District,2010-11,74.1
65,Hartland School District,2010-11,77.3
67,Hebron School District,2010-11,93.8
286,Highville Charter School District,2010-11,88.2
264,Integrated Day Charter School District,2010-11,97.1
261,Jumoke Academy District,2010-11,100
68,Kent School District,2010-11,87.9
69,Killingly School District,2010-11,74.2
245,Learn,2010-11,92.8
71,Lebanon School District,2010-11,95.7
72,Ledyard School District,2010-11,72.8
73,Lisbon School District,2010-11,87.8
74,Litchfield School District,2010-11,75
76,Madison School District,2010-11,96.3
77,Manchester School District,2010-11,61.8
78,Mansfield School District,2010-11,81.2
79,Marlborough School District,2010-11,91.8
80,Meriden School District,2010-11,77
83,Middletown School District,2010-11,83.1
84,Milford School District,2010-11,81
85,Monroe School District,2010-11,94
86,Montville School District,2010-11,70
88,Naugatuck School District,2010-11,72.2
280,"New Beginnings Inc., Family Academy District",2010-11,78
89,New Britain School District,2010-11,77.6
90,New Canaan School District,2010-11,98.6
91,New Fairfield School District,2010-11,94.3
92,New Hartford School District,2010-11,84.9
93,New Haven School District,2010-11,71.6
95,New London School District,2010-11,74.1
96,New Milford School District,2010-11,81
94,Newington School District,2010-11,90.4
97,Newtown School District,2010-11,96.2
98,Norfolk School District,2010-11,86.7
99,North Branford School District,2010-11,93.7
100,North Canaan School District,2010-11,65.8
101,North Haven School District,2010-11,93.6
102,North Stonington School District,2010-11,83.3
103,Norwalk School District,2010-11,85.6
104,Norwich School District,2010-11,77.2
106,Old Saybrook School District,2010-11,95.1
107,Orange School District,2010-11,98.7
108,Oxford School District,2010-11,94.3
109,Plainfield School District,2010-11,78.7
110,Plainville School District,2010-11,87.1
111,Plymouth School District,2010-11,87.1
112,Pomfret School District,2010-11,78.7
113,Portland School District,2010-11,96.4
114,Preston School District,2010-11,38.7
116,Putnam School District,2010-11,48.4
117,Redding School District,2010-11,93.8
206,Regional School District 06,2010-11,95.2
210,Regional School District 10,2010-11,89.5
212,Regional School District 12,2010-11,95.7
213,Regional School District 13,2010-11,89.6
214,Regional School District 14,2010-11,85.8
215,Regional School District 15,2010-11,93.8
216,Regional School District 16,2010-11,98.4
217,Regional School District 17,2010-11,90.1
218,Regional School District 18,2010-11,95
118,Ridgefield School District,2010-11,84.9
119,Rocky Hill School District,2010-11,87.2
121,Salem School District,2010-11,52.9
122,Salisbury School District,2010-11,80
123,Scotland School District,2010-11,100
124,Seymour School District,2010-11,67.4
125,Sharon School District,2010-11,78.3
126,Shelton School District,2010-11,86.1
127,Sherman School District,2010-11,75.9
270,Side By Side Community School District,2010-11,56.5
128,Simsbury School District,2010-11,91.7
129,Somers School District,2010-11,96
132,South Windsor School District,2010-11,79.9
131,Southington School District,2010-11,80.5
133,Sprague School District,2010-11,85.4
134,Stafford School District,2010-11,87.1
135,Stamford School District,2010-11,73.3
136,Sterling School District,2010-11,65.4
137,Stonington School District,2010-11,79.4
138,Stratford School District,2010-11,80.9
139,Suffield School District,2010-11,89.7
140,Thomaston School District,2010-11,58.1
141,Thompson School District,2010-11,44.8
142,Tolland School District,2010-11,55.7
143,Torrington School District,2010-11,80.5
144,Trumbull School District,2010-11,89.9
145,Union School District,2010-11,100
146,Vernon School District,2010-11,75.4
147,Voluntown School District,2010-11,84.4
148,Wallingford School District,2010-11,76.6
151,Waterbury School District,2010-11,62.5
152,Waterford School District,2010-11,83.3
153,Watertown School District,2010-11,93.3
155,West Hartford School District,2010-11,91.7
156,West Haven School District,2010-11,59
154,Westbrook School District,2010-11,81.8
157,Weston School District,2010-11,98.7
158,Westport School District,2010-11,96.2
159,Wethersfield School District,2010-11,83.6
160,Willington School District,2010-11,82.4
161,Wilton School District,2010-11,98.6
162,Winchester School District,2010-11,78.4
163,Windham School District,2010-11,77.1
165,Windsor Locks School District,2010-11,48.9
164,Windsor School District,2010-11,87.2
166,Wolcott School District,2010-11,79
167,Woodbridge School District,2010-11,80
169,Woodstock School District,2010-11,73.2
288,Achievement First Hartford Academy Inc.,2009-10,83.9
279,Amistad Academy District,2009-10,91.8
1,Andover School District,2009-10,93.3
2,Ansonia School District,2009-10,92.5
244,Area Cooperative Educational Services,2009-10,82.8
3,Ashford School District,2009-10,90.3
4,Avon School District,2009-10,84.5
5,Barkhamsted School District,2009-10,71.4
7,Berlin School District,2009-10,95
8,Bethany School District,2009-10,96.5
9,Bethel School District,2009-10,82.4
11,Bloomfield School District,2009-10,88.7
12,Bolton School District,2009-10,92.5
13,Bozrah School District,2009-10,95.8
14,Branford School District,2009-10,82.9
15,Bridgeport School District,2009-10,65.1
17,Bristol School District,2009-10,84.6
18,Brookfield School District,2009-10,71.8
19,Brooklyn School District,2009-10,100
21,Canaan School District,2009-10,50
22,Canterbury School District,2009-10,92.1
23,Canton School District,2009-10,100
241,Capitol Region Education Council,2009-10,88.7
24,Chaplin School District,2009-10,78.9
287,Charter School for Young Children on Asylum Hill,2009-10,75
25,Cheshire School District,2009-10,92.3
26,Chester School District,2009-10,100
27,Clinton School District,2009-10,88.5
28,Colchester School District,2009-10,90.7
29,Colebrook School District,2009-10,93.3
30,Columbia School District,2009-10,88.1
243,Cooperative Educational Services,2009-10,78.7
31,Cornwall School District,2009-10,87.5
32,Coventry School District,2009-10,87.8
33,Cromwell School District,2009-10,100
34,Danbury School District,2009-10,72.4
35,Darien School District,2009-10,91.7
36,Deep River School District,2009-10,91.1
37,Derby School District,2009-10,71.3
40,East Granby School District,2009-10,75.4
41,East Haddam School District,2009-10,80
42,East Hampton School District,2009-10,88.8
43,East Hartford School District,2009-10,71.9
44,East Haven School District,2009-10,73.3
45,East Lyme School District,2009-10,84.4
47,East Windsor School District,2009-10,81.2
39,Eastford School District,2009-10,80
46,Easton School District,2009-10,98.9
48,Ellington School District,2009-10,79
289,Elm City College Preparatory School,2009-10,69.6
49,Enfield School District,2009-10,73.4
50,Essex School District,2009-10,85.7
51,Fairfield School District,2009-10,94.2
52,Farmington School District,2009-10,80.9
