District number,District name,Percentage of Kindergarten Students with Pre-kindergarten Experience 2009-10,Percentage of Kindergarten Students with Pre-kindergarten Experience 2010-11,Percentage of Kindergarten Students with Pre-kindergarten Experience 2011-12,Percentage of Kindergartener Students with Pre-Kindergarten Experience 2012-13
1,Andover School District,93.30%,92.86%,68.60%,89.30%
2,Ansonia School District,92.50%,80.39%,70.70%,70.50%
3,Ashford School District,90.30%,95.83%,87.50%,80.60%
4,Avon School District,84.50%,82.72%,88.60%,84%
5,Barkhamsted School District,71.40%,77.55%,23.80%,75%
7,Berlin School District,95%,93.78%,86.30%,86.90%
8,Bethany School District,96.50%,88.68%,91.50%,90%
9,Bethel School District,82.40%,76.69%,86.50%,91.80%
11,Bloomfield School District,88.70%,93.91%,91.90%,90.50%
12,Bolton School District,92.50%,91.53%,100%,87.20%
13,Bozrah School District,95.80%,77.42%,70%,76%
14,Branford School District,82.90%,87.55%,79.90%,82.60%
15,Bridgeport School District,65.10%,63.85%,65.10%,62.50%
17,Bristol School District,84.60%,82.81%,82.90%,76.80%
18,Brookfield School District,71.80%,82.72%,88.60%,94.40%
19,Brooklyn School District,100%,89.69%,97.30%,95.10%
21,Canaan School District,50%,90.91%,71.40%,85.70%
22,Canterbury School District,92.10%,84.78%,88.40%,88.40%
23,Canton School District,100%,94.07%,93.50%,92.90%
24,Chaplin School District,78.90%,70%,84.60%,77.80%
25,Cheshire School District,92.30%,91.86%,98.90%,97%
26,Chester School District,100%,96.97%,87.10%,93.80%
27,Clinton School District,88.50%,89.73%,82.70%,89.20%
28,Colchester School District,90.70%,89.05%,100%,87.10%
29,Colebrook School District,93.30%,85.71%,87.50%,100%
30,Columbia School District,88.10%,88.52%,78.30%,87%
31,Cornwall School District,87.50%,80%,57.10%,83.30%
32,Coventry School District,87.80%,80%,94.30%,75%
33,Cromwell School District,100%,96.23%,93%,91.90%
34,Danbury School District,72.40%,77.91%,74.20%,75.80%
35,Darien School District,91.70%,95.26%,96.40%,94.10%
36,Deep River School District,91.10%,93.75%,94.50%,80.40%
37,Derby School District,71.30%,63.36%,56.80%,59.10%
39,Eastford School District,80%,82.61%,92.30%,63.20%
40,East Granby School District,75.40%,81.48%,88.20%,93.10%
