Inst,dist,District Name,School,School Name,Grade,Total,% of Non-White,American Indian,Asian American,Black,White,Hispanic,Pacific Islander,Two or More races,,IndianM,IndianF,AsianM,AsianF,BlackM,BlackF,WhiteM,WhiteF,HispM,HispF,PaciM,PaciF,MultiM,MultiF,TotalM,TotalF,,Eligible for Free or Reduced Price Lunch,Special Education,English Language Learner
11,1,Andover School District,1,Andover Elementary School,-3,30,*,0,0,0,26,*,0,*,,0,0,0,0,0,0,15,11,0,*,0,0,*,*,16,14,,*,*,0
11,1,Andover School District,1,Andover Elementary School,0,28,*,0,0,0,26,*,0,*,,0,0,0,0,0,0,12,14,0,*,0,0,0,*,12,16,,*,*,0
11,1,Andover School District,1,Andover Elementary School,1,39,*,0,0,*,37,0,0,*,,0,0,0,0,*,0,21,16,0,0,0,0,*,0,23,16,,8,0,*
11,1,Andover School District,1,Andover Elementary School,2,42,*,0,*,0,40,*,0,0,,0,0,*,0,0,0,24,16,0,*,0,0,0,0,25,17,,*,0,*
11,1,Andover School District,1,Andover Elementary School,3,47,7,0,0,*,40,*,0,*,,0,0,0,0,*,0,18,22,*,*,0,0,*,0,24,23,,6,7,0
11,1,Andover School District,1,Andover Elementary School,4,44,*,0,*,0,42,*,0,0,,0,0,*,0,0,0,22,20,0,*,0,0,0,0,23,21,,6,*,0
11,1,Andover School District,1,Andover Elementary School,5,50,*,0,0,*,46,0,0,*,,0,0,0,0,*,0,26,20,0,0,0,0,*,*,28,22,,10,*,0
11,1,Andover School District,1,Andover Elementary School,6,34,*,0,0,0,33,*,0,0,,0,0,0,0,0,0,21,12,*,0,0,0,0,0,22,12,,*,*,0
11,2,Ansonia School District,3,Mead School,-2,71,54,*,0,18,17,32,*,*,,*,0,0,0,8,10,11,6,14,18,0,*,*,0,36,35,,42,7,7
11,2,Ansonia School District,3,Mead School,1,88,54,*,*,18,34,33,0,0,,*,0,0,*,10,8,16,18,16,17,0,0,0,0,44,44,,64,7,*
11,2,Ansonia School District,3,Mead School,2,88,46,0,0,16,42,29,*,0,,0,0,0,0,12,*,20,22,9,20,0,*,0,0,41,47,,64,7,*
