District ID,District Name,School Year,Total PreK Students with Disabilities,PreK Students with Disabilities Age 3,PreK Students with Disabilities Age 4,PreK Students with Disabilities Age 5,PreK Students with Disabilities Age 6,PreK Students with Disabilities Age 7,PreK Students with Disabilities Age 8
1,Andover School District,2010-11,7,6,1,0,0,0,0
2,Ansonia School District,2010-11,16,11,5,0,0,0,0
3,Ashford School District,2010-11,7,3,3,1,0,0,0
4,Avon School District,2010-11,21,9,12,0,0,0,0
5,Barkhamsted School District,2010-11,7,3,4,0,0,0,0
7,Berlin School District,2010-11,31,13,15,3,0,0,0
8,Bethany School District,2010-11,8,3,5,0,0,0,0
9,Bethel School District,2010-11,34,9,24,1,0,0,0
11,Bloomfield School District,2010-11,16,10,6,0,0,0,0
12,Bolton School District,2010-11,**,**,**,**,**,**,**
13,Bozrah School District,2010-11,**,**,**,**,**,**,**
14,Branford School District,2010-11,37,14,19,4,0,0,0
15,Bridgeport School District,2010-11,235,121,114,0,0,0,0
17,Bristol School District,2010-11,97,46,46,5,0,0,0
18,Brookfield School District,2010-11,25,19,6,0,0,0,0
19,Brooklyn School District,2010-11,6,3,3,0,0,0,0
22,Canterbury School District,2010-11,**,**,**,**,**,**,**
23,Canton School District,2010-11,18,4,9,4,1,0,0
24,Chaplin School District,2010-11,**,**,**,**,**,**,**
25,Cheshire School District,2010-11,41,12,19,10,0,0,0
26,Chester School District,2010-11,7,1,6,0,0,0,0
27,Clinton School District,2010-11,16,7,8,1,0,0,0
28,Colchester School District,2010-11,29,11,14,4,0,0,0
29,Colebrook School District,2010-11,**,**,**,**,**,**,**
30,Columbia School District,2010-11,12,5,6,1,0,0,0
31,Cornwall School District,2010-11,**,**,**,**,**,**,**
32,Coventry School District,2010-11,13,9,3,1,0,0,0
33,Cromwell School District,2010-11,16,7,8,1,0,0,0
34,Danbury School District,2010-11,95,48,44,1,1,1,0
35,Darien School District,2010-11,40,21,19,0,0,0,0
36,Deep River School District,2010-11,7,4,2,1,0,0,0
37,Derby School District,2010-11,11,6,5,0,0,0,0
